analysis_type,SITE_ID,Start_Date,End_Date,Num_Years,acf_SO2_Lag,fft_SO2_Period,acf_SO4_Lag,fft_SO4_Period,acf_HNO3_Lag,fft_HNO3_Period,acf_NO3_Lag,fft_NO3_Period,acf_TNO3_Lag,fft_TNO3_Period,acf_NH4_Lag,fft_NH4_Period,acf_CA_Lag,fft_CA_Period,acf_K_Lag,fft_K_Period,acf_MG_Lag,fft_MG_Period,acf_Sodium_Lag,fft_Sodium_Period
seg,ANA115,2010-09-07,2016-09-13,6.02,51,53.33,51,26.67,75,53.33,NA,NA,59.0,53.33,51,53.33,49,26.67,44,53.33,49,53.33,160,53.33
seg,ANA115,2017-03-07,2022-05-10,5.17,62,48,9,26.18,22,48,97,48,56.0,57.6,21,57.6,79,5.24,52,57.6,53,48,105,57.6
same5len,ANA115,2000-01-04,2005-01-04,5.0,30,54,11,54,42,54,5,54,57.0,54.0,19,27.0,57,54,NA,NA,57,54,54,54
same5len,ANA115,2010-09-07,2015-09-07,5.0,51,54,51,54,24,54,NA,NA,16.0,54.0,51,54.0,49,27,91,54,49,54,105,54
same5len,ANA115,2017-03-07,2022-03-07,5.0,37,54,9,27,22,54,97,54,56.0,54.0,56,54.0,79,54,52,54,53,54,105,54
same3len,ANA115,2017-03-07,2020-03-07,3.0,42,53.33,63,26.67,37,53.33,42,53.33,105.0,53.33,38,53.33,79,26.67,59,53.33,41,53.33,25,53.33
same3len,ANA115,2010-09-07,2013-09-07,3.0,24,53.33,19,53.33,59,53.33,NA,NA,59.0,53.33,59,53.33,27,26.67,16,53.33,49,53.33,47,53.33
same3len,ANA115,2003-01-04,2006-01-04,3.0,11,53.33,11,53.33,86,53.33,45,53.33,45.0,53.33,11,26.67,71,53.33,NA,NA,16,53.33,54,53.33
same3len,ANA115,2013-09-07,2016-09-07,3.0,9,53.33,17,26.67,69,53.33,NA,NA,81.0,53.33,4,53.33,57,26.67,17,53.33,57,53.33,15,53.33
same3len,ANA115,2000-01-04,2003-01-04,3.0,33,53.33,12,53.33,18,53.33,NA,NA,29.0,53.33,68,26.67,33,53.33,4,53.33,33,53.33,33,53.33
seg,ARE128,2011-02-08,2024-07-09,13.42,148,51.43,243,51.43,159,51.43,153,51.43,81.0,51.43,135,51.43,52,26.67,12,51.43,52,51.43,179,51.43
seg,ARE128,2000-01-04,2009-07-21,9.54,75,50,28,50.0,172,50,51,50,34.0,50.0,182,50.0,167,26.32,NA,NA,51,26.32,51,50
same5len,ARE128,2000-01-04,2005-01-04,5.0,75,54,157,54,44,54,62,54,36.0,54.0,182,54.0,149,22.5,NA,NA,51,54,51,54
same5len,ARE128,2011-02-08,2016-02-08,5.0,19,54,117,54,24,54,30,54,27.0,54.0,5,27.0,35,24.55,52,27,95,24.55,95,54
same5len,ARE128,2016-02-08,2021-02-08,5.0,61,54,9,27,87,54,4,54,13.0,54.0,85,54.0,31,54,9,54,85,54,52,54
same3len,ARE128,2011-02-08,2014-02-08,3.0,19,53.33,8,53.33,24,53.33,5,53.33,27.0,53.33,41,26.67,22,20,52,26.67,29,26.67,6,53.33
same3len,ARE128,2014-02-08,2017-02-08,3.0,40,53.33,5,26.67,39,53.33,81,53.33,81.0,53.33,21,53.33,44,26.67,9,53.33,21,26.67,37,26.67
same3len,ARE128,2006-01-04,2009-01-04,3.0,11,53.33,18,53.33,8,160,39,53.33,11.0,53.33,18,26.67,52,53.33,47,53.33,55,53.33,51,53.33
same3len,ARE128,2020-02-08,2023-02-08,3.0,11,53.33,52,26.67,17,17.78,30,53.33,9.0,53.33,14,26.67,25,20,42,53.33,79,26.67,45,53.33
same3len,ARE128,2000-01-04,2003-01-04,3.0,10,53.33,35,53.33,78,53.33,53,53.33,97.0,53.33,84,53.33,4,40,39,14.55,4,53.33,17,53.33
same3len,ARE128,2003-01-04,2006-01-04,3.0,7,53.33,48,53.33,18,53.33,51,53.33,34.0,53.33,48,53.33,31,26.67,NA,NA,49,26.67,49,53.33
same3len,ARE128,2017-02-08,2020-02-08,3.0,80,53.33,9,26.67,89,53.33,8,53.33,42.0,53.33,38,53.33,47,32,12,53.33,63,53.33,52,53.33
seg,ASH135,2004-01-27,2022-05-03,18.26,106,53.33,152,50.53,20,25.95,NA,NA,50.0,53.33,9,25.95,238,53.33,109,25.95,NA,NA,97,53.33
same5len,ASH135,2009-01-27,2014-01-27,5.0,40,54,93,135,24,24.55,61,54,14.0,54.0,152,135.0,100,54,6,24.55,19,54,59,54
same5len,ASH135,2014-01-27,2019-01-27,5.0,55,54,60,54,16,27,NA,NA,20.0,54.0,16,24.55,44,54,131,54,NA,NA,147,54
same5len,ASH135,2004-01-27,2009-01-27,5.0,108,54,17,10.38,23,54,NA,NA,58.0,54.0,9,8.44,115,54,56,67.5,121,54,4,54
same3len,ASH135,2010-01-27,2013-01-27,3.0,40,53.33,7,26.67,39,26.67,14,53.33,14.0,53.33,11,26.67,22,53.33,53,26.67,70,5,11,53.33
same3len,ASH135,2016-01-27,2019-01-27,3.0,7,53.33,6,53.33,6,26.67,32,53.33,32.0,53.33,6,26.67,9,53.33,49,26.67,8,53.33,5,53.33
same3len,ASH135,2007-01-27,2010-01-27,3.0,17,53.33,61,53.33,58,53.33,44,53.33,44.0,53.33,61,53.33,27,53.33,27,160,42,53.33,25,53.33
same3len,ASH135,2019-01-27,2022-01-27,3.0,48,53.33,9,53.33,47,26.67,42,53.33,42.0,53.33,9,26.67,60,53.33,18,53.33,51,53.33,27,53.33
same3len,ASH135,2013-01-27,2016-01-27,3.0,55,53.33,63,53.33,34,26.67,36,53.33,34.0,53.33,74,26.67,19,53.33,35,53.33,28,53.33,16,53.33
same3len,ASH135,2000-01-04,2003-01-04,3.0,10,53.33,61,26.67,7,5.93,29,53.33,17.0,53.33,7,5.93,41,53.33,41,26.67,29,53.33,8,53.33
same3len,ASH135,2004-01-27,2007-01-27,3.0,34,53.33,17,12.31,20,26.67,40,53.33,34.0,53.33,17,53.33,6,53.33,42,80,66,53.33,15,53.33
seg,BAS601,2019-01-22,2025-04-08,6.21,64,51.43,38,51.43,55,51.43,19,51.43,32.0,25.71,45,51.43,28,51.43,102,51.43,16,51.43,77,180
same5len,BAS601,2019-01-22,2024-01-22,5.0,16,54,32,67.5,10,54,19,54,32.0,54.0,32,54.0,28,54,32,54,115,54,77,27
same3len,BAS601,2022-01-22,2025-01-22,3.0,49,53.33,49,53.33,6,53.33,49,53.33,5.0,53.33,5,53.33,16,53.33,17,53.33,16,53.33,56,160
same3len,BAS601,2019-01-22,2022-01-22,3.0,16,53.33,16,26.67,10,53.33,32,53.33,32.0,26.67,16,26.67,28,53.33,32,53.33,32,53.33,17,80
seg,BBE401,2005-07-12,2015-12-08,10.41,66,52.36,9,52.36,178,52.36,21,52.36,4.0,52.36,54,52.36,57,52.36,183,52.36,6,52.36,86,52.36
same5len,BBE401,2010-07-12,2015-07-12,5.0,40,90,51,54,65,54,63,54,47.0,54.0,51,54.0,57,54,6,54,80,54,86,54
same5len,BBE401,2005-07-12,2010-07-12,5.0,51,54,14,54,58,54,59,54,48.0,54.0,89,54.0,59,54,29,54,59,54,53,54
same3len,BBE401,2005-07-12,2008-07-12,3.0,36,53.33,38,53.33,36,7.27,21,53.33,15.0,53.33,57,26.67,16,160,29,53.33,19,53.33,53,53.33
same3len,BBE401,2000-11-14,2003-11-14,3.0,7,53.33,80,53.33,35,17.78,9,53.33,40.0,53.33,80,53.33,NA,NA,NA,NA,47,53.33,6,53.33
same3len,BBE401,2011-07-12,2014-07-12,3.0,42,32,47,53.33,38,53.33,21,53.33,47.0,53.33,47,53.33,42,53.33,52,53.33,60,53.33,13,53.33
same3len,BBE401,2008-07-12,2011-07-12,3.0,40,53.33,54,53.33,23,53.33,15,53.33,54.0,53.33,54,53.33,6,160,42,160,6,53.33,4,53.33
same3len,BEL116,2013-02-05,2016-02-05,3.0,18,53.33,5,26.67,7,53.33,4,53.33,81.0,53.33,5,53.33,4,26.67,9,26.67,4,26.67,4,53.33
same3len,BEL116,2000-01-04,2003-01-04,3.0,52,53.33,37,53.33,44,53.33,5,53.33,44.0,53.33,52,53.33,24,4.71,30,53.33,65,53.33,65,14.55
same3len,BEL116,2009-02-03,2012-02-03,3.0,39,53.33,6,53.33,73,53.33,18,53.33,52.0,53.33,64,26.67,19,20,50,53.33,18,53.33,NA,NA
seg,BFT142,2000-01-04,2007-07-03,7.49,104,50,13,50.0,69,50,130,50,20.0,50.0,54,5.88,56,50,57,50,57,50,57,50
seg,BFT142,2012-06-26,2018-08-21,6.15,55,54,224,54.0,33,54,187,54,29.0,54.0,4,54.0,92,54,95,54,107,54,110,54
same5len,BFT142,2000-01-04,2005-01-04,5.0,20,54,13,54,119,54,20,54,13.0,54.0,13,15.0,56,54,68,54,125,54,57,54
same5len,BFT142,2012-06-26,2017-06-26,5.0,55,54,36,54,36,54,163,54,105.0,54.0,4,54.0,9,54,57,54,50,54,33,54
same3len,BFT142,2019-09-10,2022-09-10,3.0,47,53.33,58,53.33,40,53.33,28,53.33,24.0,53.33,14,4.57,24,26.67,4,53.33,15,53.33,15,53.33
same3len,BFT142,2000-01-04,2003-01-04,3.0,62,53.33,13,53.33,121,53.33,20,53.33,13.0,53.33,13,6.67,19,53.33,43,53.33,87,53.33,87,53.33
same3len,BFT142,2012-06-26,2015-06-26,3.0,36,53.33,36,53.33,36,53.33,22,53.33,36.0,53.33,13,53.33,9,53.33,24,53.33,33,53.33,33,53.33
same3len,BFT142,2015-06-26,2018-06-26,3.0,6,53.33,21,53.33,8,26.67,29,53.33,21.0,53.33,4,13.33,58,26.67,69,53.33,20,53.33,20,53.33
same3len,BFT142,2003-01-04,2006-01-04,3.0,35,53.33,17,53.33,25,53.33,9,53.33,17.0,53.33,17,14.55,7,53.33,5,53.33,15,53.33,97,53.33
same3len,BUF603,2019-01-22,2022-01-22,3.0,65,26.67,47,26.67,10,53.33,56,26.67,42.0,53.33,16,26.67,32,53.33,35,53.33,44,53.33,24,26.67
same3len,BUF603,2013-10-15,2016-10-15,3.0,9,53.33,49,53.33,85,53.33,33,14.55,9.0,53.33,49,53.33,45,53.33,53,53.33,NA,NA,14,22.86
seg,BVL130,2006-12-05,2018-12-25,12.05,94,53.33,51,53.33,133,53.33,63,53.33,14.0,53.33,14,53.33,94,53.33,6,53.33,94,53.33,22,53.33
seg,BVL130,2000-01-04,2006-11-28,6.9,170,53.57,137,53.57,102,53.57,100,53.57,49.0,53.57,11,26.79,82,53.57,91,53.57,27,53.57,80,53.57
same5len,BVL130,2000-01-04,2005-01-04,5.0,54,54,95,54,54,54,9,54,84.0,54.0,78,27.0,27,54,163,54,27,54,80,54
same5len,BVL130,2006-12-05,2011-12-05,5.0,124,54,22,54,133,54,63,54,46.0,54.0,122,54.0,25,54,15,54,25,54,28,54
same5len,BVL130,2011-12-05,2016-12-05,5.0,35,54,51,54,29,54,36,54,30.0,54.0,30,54.0,20,54,6,54,20,54,49,54
same3len,BVL130,2012-12-05,2015-12-05,3.0,37,53.33,30,53.33,77,53.33,7,53.33,30.0,53.33,30,53.33,48,53.33,51,53.33,98,53.33,74,53.33
same3len,BVL130,2000-01-04,2003-01-04,3.0,43,53.33,63,53.33,63,53.33,38,53.33,14.0,53.33,8,17.78,45,53.33,88,53.33,45,53.33,30,53.33
same3len,BVL130,2015-12-05,2018-12-05,3.0,37,53.33,52,6.67,64,53.33,37,53.33,47.0,53.33,7,53.33,93,53.33,31,53.33,26,53.33,22,53.33
same3len,BVL130,2009-12-05,2012-12-05,3.0,19,53.33,65,53.33,30,53.33,10,53.33,49.0,53.33,14,53.33,27,53.33,33,53.33,33,53.33,51,53.33
same3len,BVL130,2020-01-21,2023-01-21,3.0,6,53.33,49,26.67,59,53.33,7,53.33,17.0,53.33,32,53.33,50,53.33,42,53.33,32,53.33,83,53.33
same3len,BVL130,2006-12-05,2009-12-05,3.0,83,53.33,9,53.33,14,53.33,65,53.33,46.0,53.33,41,53.33,25,53.33,15,53.33,109,53.33,28,53.33
same3len,BVL130,2003-01-04,2006-01-04,3.0,16,53.33,7,53.33,7,53.33,5,53.33,26.0,53.33,26,26.67,27,53.33,7,53.33,64,53.33,46,53.33
seg,BWR139,2007-06-19,2022-03-01,14.7,4,51.2,92,51.2,7,51.2,51,51.2,47.0,51.2,183,51.2,94,26.48,17,51.2,178,51.2,189,25.6
seg,BWR139,2000-01-04,2005-05-31,5.4,111,57.6,17,48.0,38,48,11,48,17.0,57.6,17,26.18,34,26.18,17,57.6,49,26.18,49,26.18
same5len,BWR139,2000-01-04,2005-01-04,5.0,111,54,157,54,38,54,58,54,88.0,54.0,157,54.0,27,30,17,54,49,54,49,27
same5len,BWR139,2007-06-19,2012-06-19,5.0,29,27,41,54,7,54,104,54,52.0,54.0,157,27.0,9,54,17,54,18,27,18,27
same5len,BWR139,2012-06-19,2017-06-19,5.0,30,54,76,54,54,54,10,54,65.0,54.0,105,54.0,51,27,9,54,NA,NA,62,24.55
same3len,BWR139,2007-06-19,2010-06-19,3.0,29,53.33,36,53.33,7,53.33,7,53.33,34.0,53.33,36,26.67,9,53.33,15,53.33,18,26.67,18,26.67
same3len,BWR139,2000-01-04,2003-01-04,3.0,9,53.33,46,53.33,82,53.33,11,53.33,46.0,53.33,46,53.33,15,9.41,4,53.33,30,53.33,30,26.67
same3len,BWR139,2016-06-19,2019-06-19,3.0,71,26.67,47,26.67,56,53.33,25,53.33,25.0,53.33,25,26.67,38,14.55,NA,NA,103,26.67,32,26.67
same3len,BWR139,2010-06-19,2013-06-19,3.0,24,26.67,8,53.33,52,53.33,4,53.33,47.0,53.33,73,26.67,16,26.67,83,53.33,67,26.67,4,26.67
same3len,BWR139,2013-06-19,2016-06-19,3.0,4,53.33,105,53.33,4,53.33,65,53.33,65.0,53.33,18,53.33,30,26.67,9,53.33,4,26.67,84,26.67
seg,CAD150,2004-06-08,2015-07-21,11.12,61,26.09,164,50.0,58,50,NA,NA,164.0,26.09,159,50.0,173,5.77,4,54.55,63,54.55,63,54.55
same5len,CAD150,2004-06-08,2009-06-08,5.0,88,54,40,54,50,54,NA,NA,50.0,54.0,67,54.0,5,16.88,47,54,134,54,63,9
same5len,CAD150,2009-06-08,2014-06-08,5.0,22,27,4,54,70,54,92,54,4.0,27.0,168,27.0,57,54,4,54,63,54,79,54
same3len,CAD150,2020-06-16,2023-06-16,3.0,21,160,16,53.33,25,16,51,53.33,16.0,26.67,16,22.86,51,20,16,53.33,13,53.33,13,53.33
same3len,CAD150,2007-06-08,2010-06-08,3.0,67,53.33,9,53.33,11,53.33,5,53.33,43.0,53.33,34,22.86,5,17.78,4,53.33,12,53.33,19,53.33
same3len,CAD150,2004-06-08,2007-06-08,3.0,48,53.33,11,53.33,56,53.33,NA,NA,74.0,16,10,53.33,48,160,13,53.33,45,53.33,63,16
same3len,CAD150,2010-06-08,2013-06-08,3.0,22,26.67,12,53.33,12,53.33,16,53.33,57.0,26.67,24,22.86,57,53.33,26,53.33,63,53.33,79,53.33
same3len,CAD150,2015-07-28,2018-07-28,3.0,29,53.33,4,53.33,18,20,24,53.33,47.0,20,93,4.21,91,40,31,53.33,42,53.33,22,53.33
same3len,CAD150,2000-12-26,2003-12-26,3.0,65,53.33,38,53.33,75,53.33,NA,NA,69.0,53.33,38,53.33,17,13.33,126,53.33,8,53.33,10,13.33
seg,CAN407,2000-08-29,2013-09-24,13.07,104,51.43,22,51.43,111,51.43,209,51.43,216.0,25.71,209,51.43,76,51.43,61,25.71,76,51.43,118,51.43
seg,CAN407,2013-10-15,2019-01-08,5.23,6,96,7,48.0,91,48,57,26.18,4.0,26.18,57,48.0,53,26.18,57,18,53,57.6,25,48
same5len,CAN407,2000-08-29,2005-08-29,5.0,6,54,15,54,6,27,24,54,6.0,27.0,52,54.0,19,54,68,12.86,19,54,19,27
same5len,CAN407,2005-08-29,2010-08-29,5.0,27,54,18,54,162,27,194,54,216.0,27.0,162,54.0,31,54,31,10.38,31,54,5,54
same5len,CAN407,2013-10-15,2018-10-15,5.0,6,54,7,54,91,54,25,22.5,91.0,27.0,68,54.0,53,54,57,18,53,54,4,54
same3len,CAN407,2013-10-15,2016-10-15,3.0,26,53.33,48,53.33,8,26.67,4,26.67,44.0,26.67,57,17.78,53,53.33,12,22.86,18,53.33,4,53.33
same3len,CAN407,2006-08-29,2009-08-29,3.0,41,53.33,9,53.33,8,26.67,28,53.33,8.0,26.67,9,53.33,71,53.33,31,53.33,31,53.33,50,53.33
same3len,CAN407,2019-01-29,2022-01-29,3.0,42,53.33,10,53.33,36,53.33,33,17.78,15.0,53.33,18,53.33,24,53.33,87,53.33,24,53.33,81,53.33
same3len,CAN407,2000-08-29,2003-08-29,3.0,43,53.33,50,53.33,6,26.67,14,53.33,6.0,26.67,50,53.33,25,53.33,4,6.67,29,53.33,17,26.67
same3len,CAN407,2003-08-29,2006-08-29,3.0,55,53.33,40,53.33,53,26.67,24,53.33,53.0,26.67,40,53.33,5,53.33,19,160,5,53.33,48,12.31
same3len,CAN407,2009-08-29,2012-08-29,3.0,104,53.33,22,53.33,4,26.67,69,53.33,4.0,26.67,104,6.96,13,53.33,15,4.71,13,53.33,44,53.33
seg,CAT175,2011-03-15,2018-11-27,7.7,142,50.62,53,50.62,59,13.06,56,50.62,59.0,50.62,81,25.31,22,50.62,110,50.62,NA,NA,147,50.62
same5len,CAT175,2011-03-15,2016-03-15,5.0,12,54,53,54,39,90,44,54,5.0,54.0,14,27.0,5,54,44,54,27,54,154,54
same3len,CAT175,2011-03-15,2014-03-15,3.0,9,NA,11,53.33,24,26.67,22,53.33,24.0,53.33,44,26.67,5,53.33,44,NA,9,53.33,13,53.33
same3len,CAT175,2014-03-15,2017-03-15,3.0,36,53.33,12,53.33,59,13.33,7,53.33,12.0,53.33,12,26.67,17,53.33,41,53.33,15,26.67,11,53.33
seg,CDR119,2000-01-04,2009-12-15,9.95,174,54,108,54.0,6,54,NA,NA,24.0,54.0,148,54.0,42,25.71,NA,NA,NA,NA,207,54
same5len,CDR119,2000-01-04,2005-01-04,5.0,150,54,46,54,52,54,NA,NA,52.0,54.0,28,54.0,27,24.55,60,54,27,54,117,54
same3len,CDR119,2006-01-04,2009-01-04,3.0,32,53.33,52,53.33,22,53.33,NA,NA,24.0,53.33,61,53.33,17,26.67,4,53.33,17,53.33,34,53.33
same3len,CDR119,2017-05-02,2020-05-02,3.0,41,53.33,17,9.41,19,53.33,NA,NA,56.0,53.33,17,26.67,31,53.33,42,53.33,54,53.33,52,53.33
same3len,CDR119,2003-01-04,2006-01-04,3.0,21,53.33,7,53.33,45,53.33,NA,NA,12.0,53.33,54,53.33,42,53.33,NA,NA,42,53.33,40,53.33
same3len,CDR119,2012-07-03,2015-07-03,3.0,9,53.33,58,53.33,10,53.33,NA,NA,55.0,53.33,58,26.67,42,53.33,36,26.67,42,53.33,39,53.33
same3len,CDR119,2000-01-04,2003-01-04,3.0,6,53.33,55,53.33,52,53.33,NA,NA,9.0,53.33,52,53.33,57,26.67,4,53.33,4,26.67,15,53.33
seg,CDZ171,2001-08-28,2008-01-29,6.42,35,51.43,11,51.43,9,51.43,118,51.43,31.0,51.43,50,51.43,37,25.71,34,51.43,29,51.43,19,51.43
seg,CDZ171,2011-10-04,2017-03-07,5.42,50,48,102,57.6,18,48,86,48,70.0,48.0,70,26.18,7,26.18,63,57.6,78,48,33,48
same5len,CDZ171,2011-10-04,2016-10-04,5.0,20,54,111,54,45,54,86,54,172.0,54.0,98,27.0,102,54,63,54,27,54,33,54
same5len,CDZ171,2001-08-28,2006-08-28,5.0,16,54,4,54,141,27,8,54,70.0,54.0,50,54.0,37,5.4,7,54,29,54,91,54
same3len,CDZ171,2004-08-28,2007-08-28,3.0,9,53.33,11,53.33,6,53.33,40,53.33,31.0,53.33,11,53.33,43,5.52,11,53.33,6,53.33,10,53.33
same3len,CDZ171,2011-10-04,2014-10-04,3.0,52,53.33,64,53.33,45,53.33,86,53.33,94.0,53.33,70,26.67,7,6.15,51,53.33,27,53.33,33,53.33
same3len,CDZ171,2001-08-28,2004-08-28,3.0,7,53.33,4,53.33,54,10.67,29,53.33,4.0,53.33,49,53.33,7,5.93,50,53.33,29,26.67,11,53.33
seg,CHA467,2003-07-29,2018-12-18,15.39,20,26.13,162,50.62,55,50.62,95,54,101.0,50.62,20,50.62,204,26.13,222,50.62,200,50.62,4,50.62
same5len,CHA467,2013-07-29,2018-07-29,5.0,38,24.55,35,54,14,54,17,54,7.0,54.0,35,54.0,7,54,7,54,72,54,31,54
same5len,CHA467,2008-07-29,2013-07-29,5.0,20,27,54,54,6,54,4,54,9.0,54.0,54,54.0,56,54,124,54,86,54,4,54
same5len,CHA467,2003-07-29,2008-07-29,5.0,22,27,105,54,22,54,57,54,22.0,54.0,87,54.0,26,27,26,54,46,54,38,54
same3len,CHA467,2000-01-04,2003-01-04,3.0,37,26.67,35,53.33,17,53.33,67,53.33,52.0,53.33,35,53.33,20,53.33,32,53.33,29,53.33,5,53.33
same3len,CHA467,2015-07-29,2018-07-29,3.0,35,160,35,53.33,11,53.33,80,53.33,19.0,53.33,35,53.33,19,26.67,23,53.33,57,53.33,66,53.33
same3len,CHA467,2006-07-29,2009-07-29,3.0,22,26.67,96,53.33,52,53.33,97,53.33,22.0,53.33,14,53.33,14,26.67,134,53.33,19,53.33,34,53.33
same3len,CHA467,2009-07-29,2012-07-29,3.0,55,26.67,27,53.33,69,53.33,79,53.33,9.0,53.33,27,53.33,24,53.33,51,53.33,29,53.33,4,53.33
