SITE_ID,variable,week,slope,intercept,n_obs,seasonal_mean
AB32,CL,44,-0.029669,60.0922,7,0.1375
AB32,CL,45,-0.099149,200.738,8,0.3813
AB32,CL,46,-0.013329,27.0438,9,0.1087
AB32,CL,47,0.007197,-14.4688,9,0.0748
AB32,CL,48,-0.001266,2.6494,8,0.0916
AB32,CL,49,-0.007225,14.7035,8,0.1034
AB32,CL,50,0.00186,-3.669,9,0.0902
AB32,CL,51,-0.022436,45.5402,7,0.202
AB32,CL,52,-0.065692,133.0568,3,0.3081
AB32,K,1,-0.008112,16.4524,7,0.06
AB32,K,2,-0.014283,28.9229,8,0.0599
AB32,K,3,-0.02585,52.2996,8,0.0637
AB32,K,4,0.003068,-6.1585,5,0.0422
AB32,K,5,0.003615,-7.2449,5,0.0609
AB32,K,6,0.006529,-13.1489,6,0.0438
AB32,K,7,-0.026929,54.5144,7,0.0982
AB32,K,8,-0.01721,34.8704,7,0.0939
AB32,K,9,-0.071875,145.4854,3,0.243
AB32,K,10,0.010853,-21.848,6,0.0832
AB32,K,11,-0.016482,33.3539,4,0.0478
AB32,K,12,-0.020571,41.6462,4,0.0762
AB32,K,13,-0.051593,104.4218,6,0.1641
AB32,K,14,-0.004677,9.4887,6,0.0375
AB32,K,15,-0.0314,63.5959,4,0.1439
AB32,K,16,-0.036857,74.623,4,0.1434
AB32,K,17,-0.00197,4.0671,6,0.0863
AB32,K,18,-0.031571,63.9758,6,0.1774
AB32,K,19,-0.000284,0.6335,5,0.0604
AB32,K,20,0.005,-10.0817,3,0.0222
AB32,K,21,0.008,-16.1443,3,0.0218
AB32,K,22,-0.006526,13.2868,6,0.0986
AB32,K,23,-5e-05,0.2423,8,0.1421
AB32,K,24,-0.0012,2.4675,9,0.0426
AB32,K,25,0.015265,-30.785,6,0.0614
AB32,K,26,0.009488,-19.1376,8,0.0356
AB32,K,27,0.003523,-7.0694,8,0.0488
AB32,K,28,-0.008569,17.3526,7,0.0365
AB32,K,29,0.00878,-17.7194,6,0.0222
AB32,K,30,0.002969,-5.9741,7,0.0259
AB32,K,31,-0.005821,11.8235,7,0.0598
AB32,K,32,-0.000357,0.7404,6,0.0187
AB32,K,33,-0.001821,3.7013,6,0.0206
AB32,K,34,-0.008698,17.6268,7,0.0499
AB32,K,35,0.002547,-5.1269,6,0.0192
AB32,K,36,0.001694,-3.3835,8,0.039
AB32,K,37,0.001321,-2.6272,7,0.0431
AB32,K,38,-0.01296,26.2911,7,0.1018
AB32,K,39,0.004353,-8.7593,7,0.0379
AB32,K,40,-0.006337,12.8729,6,0.0667
AB32,K,41,0.003478,-7.0044,6,0.0243
AB32,K,42,-0.001219,2.5029,8,0.0405
AB32,K,43,-0.001175,2.42,8,0.0446
AB32,K,44,2.8e-05,-0.0332,6,0.0235
AB32,K,45,-0.007995,16.2291,7,0.0727
AB32,K,46,-0.016746,33.9154,9,0.076
AB32,K,47,0.002191,-4.3891,9,0.0387
AB32,K,48,0.00077,-1.5284,8,0.0282
AB32,K,49,0.000631,-1.236,8,0.0394
AB32,K,50,0.002228,-4.4556,9,0.0465
AB32,K,51,0.001146,-2.2783,7,0.0381
AB32,K,52,-0.018769,38.0111,3,0.0829
AB32,MG,1,-0.014972,30.4774,7,0.2225
AB32,MG,2,-0.016977,34.4918,8,0.1844
AB32,MG,3,-0.03202,64.8845,8,0.1796
AB32,MG,4,0.00613,-12.1796,5,0.208
AB32,MG,5,0.054077,-108.9519,5,0.3247
AB32,MG,6,0.025271,-50.8676,6,0.2
AB32,MG,7,0.004786,-9.3277,7,0.3431
AB32,MG,8,-0.058862,119.4119,7,0.4651
AB32,MG,9,-0.077375,156.8129,3,0.4563
AB32,MG,10,0.004824,-9.3145,6,0.4327
AB32,MG,11,-0.058976,119.3818,4,0.2055
AB32,MG,12,-0.066643,134.8789,4,0.2095
AB32,MG,13,-0.154932,313.6786,6,0.5973
AB32,MG,14,-0.028565,57.9266,6,0.2031
AB32,MG,15,-0.1956,396.0626,4,0.8013
AB32,MG,16,-0.065932,133.577,4,0.3441
AB32,MG,17,-0.010099,20.6503,6,0.2432
AB32,MG,18,-0.032157,65.2316,6,0.2496
AB32,MG,19,0.009194,-18.3982,5,0.1808
AB32,MG,20,-0.0035,7.1617,3,0.089
AB32,MG,21,0.023,-46.4277,3,0.0499
AB32,MG,22,-0.007225,14.6688,6,0.0691
AB32,MG,23,-0.02673,54.1494,8,0.1349
AB32,MG,24,-0.01395,28.2783,9,0.0886
AB32,MG,25,0.014647,-29.4825,6,0.1157
AB32,MG,26,0.018226,-36.7446,8,0.0862
AB32,MG,27,-0.004149,8.5123,8,0.1288
AB32,MG,28,-0.024553,49.6795,7,0.0644
AB32,MG,29,0.01739,-35.0945,6,0.0462
AB32,MG,30,-0.002003,4.1032,7,0.0548
AB32,MG,31,-0.004857,9.9167,7,0.1016
AB32,MG,32,0.0051,-10.263,6,0.0429
AB32,MG,33,0.010464,-21.084,6,0.0619
AB32,MG,34,-0.017863,36.2103,7,0.1138
AB32,MG,35,0.002683,-5.3774,6,0.0448
AB32,MG,36,0.003527,-7.0334,8,0.0939
AB32,MG,37,0.002036,-4.0126,7,0.1011
AB32,MG,38,-0.013511,27.4396,7,0.1378
AB32,MG,39,0.004671,-9.3451,7,0.0933
AB32,MG,40,-0.016084,32.5866,6,0.0839
AB32,MG,41,-0.000761,1.6249,6,0.0873
AB32,MG,42,0.011219,-22.5509,8,0.1192
AB32,MG,43,0.001675,-3.239,8,0.1468
AB32,MG,44,0.002963,-5.8964,6,0.0903
AB32,MG,45,-1e-05,0.2247,7,0.2053
AB32,MG,46,-0.019046,38.7598,9,0.2727
AB32,MG,47,0.018612,-37.4541,9,0.1558
AB32,MG,48,0.007185,-14.4194,8,0.0992
AB32,MG,49,0.016355,-32.8936,8,0.1566
AB32,MG,50,0.013797,-27.7013,9,0.1792
AB32,MG,51,0.007899,-15.8409,7,0.1209
AB32,MG,52,-0.060423,122.3717,3,0.2709
AB32,NH4,1,-0.012508,25.3566,7,0.0809
AB32,NH4,2,-0.005612,11.3962,8,0.0566
AB32,NH4,3,-0.022175,44.8952,8,0.0839
AB32,NH4,4,-0.01011,20.4922,5,0.0631
AB32,NH4,5,-0.001559,3.2221,6,0.0711
AB32,NH4,6,-0.031214,63.1897,6,0.113
AB32,NH4,7,-0.030143,61.0011,7,0.0896
AB32,NH4,8,-0.020964,42.4488,7,0.0854
AB32,NH4,9,-0.088284,178.8085,4,0.4077
AB32,NH4,10,-0.020824,42.196,6,0.1166
AB32,NH4,11,-0.009386,19.0551,4,0.0891
AB32,NH4,12,-0.177571,359.248,4,0.4181
AB32,NH4,13,0.058144,-117.366,6,0.1294
AB32,NH4,14,-0.010696,21.9328,6,0.3194
AB32,NH4,15,0.0445,-89.7545,4,0.1695
AB32,NH4,16,0.056816,-114.421,4,0.3914
AB32,NH4,17,0.043429,-87.4501,6,0.31
AB32,NH4,18,-0.001929,4.2587,6,0.3615
AB32,NH4,19,-0.003052,6.3249,5,0.1571
AB32,NH4,20,0.04675,-93.8225,3,0.6482
AB32,NH4,21,0.0195,-39.0172,3,0.3877
AB32,NH4,22,0.118799,-239.7777,6,0.2871
AB32,NH4,23,0.231086,-466.2596,8,0.7098
AB32,NH4,24,0.027317,-54.8595,9,0.341
AB32,NH4,25,0.032176,-64.9125,6,0.1086
AB32,NH4,26,0.16244,-327.9695,8,0.2842
AB32,NH4,27,0.098757,-199.1297,8,0.4343
AB32,NH4,28,-0.027145,55.2886,7,0.4355
AB32,NH4,29,0.100697,-203.2955,7,0.1888
AB32,NH4,30,0.049315,-99.4882,7,0.1659
AB32,NH4,31,-0.041286,83.8797,7,0.451
AB32,NH4,32,0.087943,-177.5916,6,0.1201
AB32,NH4,33,0.084714,-170.8871,6,0.3004
AB32,NH4,34,-0.046494,94.2074,7,0.2542
AB32,NH4,35,0.010801,-21.6047,6,0.2221
AB32,NH4,36,0.067333,-135.7408,8,0.3239
AB32,NH4,37,0.078929,-159.0391,7,0.4569
AB32,NH4,38,-0.022723,46.4844,7,0.5658
AB32,NH4,39,0.121505,-244.9244,7,0.6081
AB32,NH4,40,0.031169,-62.7821,6,0.2024
AB32,NH4,41,-0.006152,12.5754,6,0.1433
AB32,NH4,42,-0.005384,11.0693,9,0.1899
AB32,NH4,43,-0.035225,71.4105,8,0.2288
AB32,NH4,44,0.026317,-52.9672,7,0.2123
AB32,NH4,45,0.010262,-20.5537,8,0.1825
AB32,NH4,46,0.008296,-16.6452,9,0.1187
AB32,NH4,47,0.000197,-0.2958,9,0.1024
AB32,NH4,48,-0.000743,1.5955,8,0.0936
AB32,NH4,49,-0.005203,10.5682,8,0.0541
AB32,NH4,50,-0.006101,12.3733,9,0.0437
AB32,NH4,51,-0.003053,6.2302,7,0.0604
AB32,NH4,52,-0.002923,5.9907,3,0.0838
AB32,NO3,1,0.019832,-38.9674,7,1.1084
AB32,NO3,2,-0.051213,104.4996,8,1.0102
AB32,NO3,3,-0.233707,473.5924,8,1.3263
AB32,NO3,4,-0.043788,89.741,5,1.2565
AB32,NO3,5,-0.199331,404.0051,6,1.2052
AB32,NO3,6,-0.153914,312.3802,6,1.3558
AB32,NO3,7,-0.129964,264.1934,7,1.5663
AB32,NO3,8,-0.321246,650.9736,7,1.8124
AB32,NO3,9,-0.13589,277.3412,4,2.739
AB32,NO3,10,-0.098382,200.2333,6,1.4258
AB32,NO3,11,-0.113928,231.4434,4,1.2225
AB32,NO3,12,-0.667857,1350.9596,4,1.3782
AB32,NO3,13,-0.095669,194.5894,6,1.264
AB32,NO3,14,-0.117863,239.4064,6,1.2324
AB32,NO3,15,-0.0272,55.7862,4,0.8214
AB32,NO3,16,-0.271095,549.506,4,1.6866
AB32,NO3,17,-0.026129,53.9852,6,1.1852
AB32,NO3,18,-0.178829,362.7423,6,1.3721
AB32,NO3,19,0.0045,-8.6135,5,0.4799
AB32,NO3,20,-0.03875,78.9335,3,0.6289
AB32,NO3,21,0.209,-421.8133,3,0.5262
AB32,NO3,22,0.045914,-92.2869,6,0.4942
AB32,NO3,23,-0.024158,49.5897,8,0.7728
AB32,NO3,24,-0.022767,46.8115,9,0.8055
AB32,NO3,25,0.097235,-195.9932,6,0.4963
AB32,NO3,26,0.116321,-234.5254,8,0.5327
AB32,NO3,27,-0.058486,119.0486,8,0.8612
AB32,NO3,28,-0.081872,166.0575,7,0.6142
AB32,NO3,29,-0.064668,131.5835,7,0.9047
AB32,NO3,30,-0.010908,22.5924,7,0.5508
AB32,NO3,31,-0.100321,203.4916,7,0.7658
AB32,NO3,32,0.0046,-8.8905,6,0.405
AB32,NO3,33,0.035607,-71.5441,6,0.4095
AB32,NO3,34,-0.093979,190.5739,7,0.6652
AB32,NO3,35,-0.016944,34.5565,6,0.3165
AB32,NO3,36,-0.004486,9.5526,8,0.4864
AB32,NO3,37,-0.030393,62.264,7,0.8472
AB32,NO3,38,-0.049332,100.6184,7,0.9292
AB32,NO3,39,0.037594,-75.4823,7,0.4858
AB32,NO3,40,-0.047133,95.7239,6,0.4802
AB32,NO3,41,0.030022,-60.1499,6,0.5169
AB32,NO3,42,-0.048942,99.5872,9,0.6872
AB32,NO3,43,-0.123364,250.0523,8,0.7623
AB32,NO3,44,0.065518,-131.5544,7,0.8423
AB32,NO3,45,-0.201583,408.7687,8,1.4175
AB32,NO3,46,-0.110367,224.1652,9,1.1403
AB32,NO3,47,-0.012651,26.2694,9,0.7037
AB32,NO3,48,0.010658,-20.6306,8,0.9061
AB32,NO3,49,0.020049,-39.737,8,0.7774
AB32,NO3,50,-0.00279,6.5307,9,0.8934
AB32,NO3,51,-0.047694,97.3291,7,0.9506
AB32,NO3,52,-0.094385,191.7765,3,1.0476
AB32,SO4,1,-0.041204,83.8758,7,0.6123
AB32,SO4,2,-0.053647,109.0168,8,0.6097
AB32,SO4,3,-0.120852,244.7513,8,0.5378
AB32,SO4,4,0.0565,-113.576,5,0.5971
AB32,SO4,5,0.060381,-121.4148,6,0.6016
AB32,SO4,6,-0.006457,13.6084,6,0.56
AB32,SO4,7,-0.059071,120.1473,7,0.7779
AB32,SO4,8,-0.142024,287.8591,7,0.8623
AB32,SO4,9,-0.105561,215.0177,4,1.7033
AB32,SO4,10,0.087853,-176.395,6,1.135
AB32,SO4,11,-0.360229,728.9768,4,1.0394
AB32,SO4,12,-0.922429,1865.753,4,1.743
AB32,SO4,13,-0.279144,565.873,6,1.7889
AB32,SO4,14,-0.080385,163.6093,6,1.17
AB32,SO4,15,-0.2297,465.9002,4,1.7308
AB32,SO4,16,-0.401796,814.714,4,2.7795
AB32,SO4,17,-0.053468,109.7597,6,1.7139
AB32,SO4,18,-0.469257,950.8325,6,2.5748
AB32,SO4,19,0.073694,-147.5487,5,1.3695
AB32,SO4,20,-0.0445,91.7913,3,1.8674
AB32,SO4,21,0.655,-1322.9527,3,0.6474
AB32,SO4,22,-0.0539,109.5653,6,0.6472
AB32,SO4,23,-0.171905,348.3255,8,0.9453
AB32,SO4,24,-0.2287,463.2807,9,1.1321
AB32,SO4,25,0.045,-90.2003,6,0.734
AB32,SO4,26,0.250964,-506.5059,8,0.6335
AB32,SO4,27,-0.072365,147.2342,8,1.0019
AB32,SO4,28,-0.136447,276.6915,7,0.9637
AB32,SO4,29,-0.106213,215.8972,7,1.2656
AB32,SO4,30,-0.026634,54.4726,7,0.6525
AB32,SO4,31,-0.19575,396.8379,7,1.2735
AB32,SO4,32,-0.002729,6.2089,6,0.6951
AB32,SO4,33,0.059714,-119.9323,6,0.7362
AB32,SO4,34,-0.235134,476.3044,7,1.1539
AB32,SO4,35,0.097733,-196.6314,6,0.8637
AB32,SO4,36,-0.050739,103.1673,8,0.6363
AB32,SO4,37,0.301321,-607.7002,7,1.1992
AB32,SO4,38,-0.088606,180.5134,7,1.4608
AB32,SO4,39,0.024471,-48.4473,7,1.0031
AB32,SO4,40,-0.096048,194.5974,6,0.5067
AB32,SO4,41,-0.062391,126.836,6,0.7579
AB32,SO4,42,-0.018174,37.5575,9,0.8315
AB32,SO4,43,-0.045907,93.4921,8,0.7244
AB32,SO4,44,0.035492,-70.8733,7,0.8475
AB32,SO4,45,-0.182209,370.1172,8,1.9167
AB32,SO4,46,-0.006088,13.0044,9,0.703
AB32,SO4,47,0.065831,-132.5121,9,0.5165
AB32,SO4,48,0.061784,-124.2893,8,0.5611
AB32,SO4,49,0.033533,-67.313,8,0.4493
AB32,SO4,50,0.002831,-5.3375,9,0.3831
AB32,SO4,51,-0.012362,25.3287,7,0.3486
AB32,SO4,52,-0.061769,125.2551,3,0.4341
AB32,Sodium,1,-0.036984,74.9038,7,0.1679
AB32,Sodium,2,-0.029784,60.3147,8,0.1274
AB32,Sodium,3,-0.046218,93.529,8,0.1332
AB32,Sodium,4,0.000349,-0.6041,5,0.1018
AB32,Sodium,5,0.006269,-12.5422,5,0.1264
AB32,Sodium,6,0.005943,-11.8931,6,0.116
AB32,Sodium,7,-0.055857,113.1017,7,0.2276
AB32,Sodium,8,-0.05509,111.5799,7,0.2564
AB32,Sodium,9,-0.096,194.373,3,0.3797
AB32,Sodium,10,-0.014971,30.5244,6,0.2723
AB32,Sodium,11,-0.095036,192.2503,4,0.2047
AB32,Sodium,12,-0.071,143.842,4,0.3678
AB32,Sodium,13,-0.14278,289.0718,6,0.5479
AB32,Sodium,14,-0.017385,35.2533,6,0.1221
AB32,Sodium,15,-0.1319,267.0939,4,0.5552
AB32,Sodium,16,-0.104442,211.504,4,0.4511
AB32,Sodium,17,-0.013597,27.6569,6,0.1815
AB32,Sodium,18,-0.192029,388.9676,6,0.9233
AB32,Sodium,19,-0.005478,11.2527,5,0.1837
AB32,Sodium,20,-0.00325,6.6205,3,0.053
AB32,Sodium,21,0.0105,-21.1945,3,0.0235
AB32,Sodium,22,-0.003699,7.516,6,0.0421
AB32,Sodium,23,-0.028869,58.4467,8,0.1085
AB32,Sodium,24,-0.005683,11.539,9,0.0543
AB32,Sodium,25,0.013765,-27.7236,6,0.0916
AB32,Sodium,26,0.006905,-13.905,8,0.0479
AB32,Sodium,27,-0.008297,16.8465,8,0.0796
AB32,Sodium,28,-0.012928,26.1572,7,0.0335
AB32,Sodium,29,0.008034,-16.2115,6,0.0231
AB32,Sodium,30,-0.001401,2.8654,7,0.035
AB32,Sodium,31,-0.000607,1.2746,7,0.0478
AB32,Sodium,32,-0.000857,1.7574,6,0.0253
AB32,Sodium,33,0.004571,-9.1948,6,0.043
AB32,Sodium,34,-0.019369,39.2099,7,0.0699
AB32,Sodium,35,0.035466,-71.5899,6,0.0782
AB32,Sodium,36,-8.6e-05,0.2346,8,0.0616
AB32,Sodium,37,0.005536,-11.1374,7,0.049
AB32,Sodium,38,-0.021726,44.0271,7,0.1238
AB32,Sodium,39,-0.007293,14.8345,7,0.0965
AB32,Sodium,40,-0.02341,47.364,6,0.0587
AB32,Sodium,41,0.002261,-4.5202,6,0.0485
AB32,Sodium,42,-0.002195,4.5269,8,0.0906
AB32,Sodium,43,-0.00099,2.0843,8,0.0836
AB32,Sodium,44,-0.000486,1.0167,6,0.0347
AB32,Sodium,45,-0.031135,63.1531,7,0.2374
AB32,Sodium,46,-0.018575,37.6594,9,0.1237
AB32,Sodium,47,0.008922,-17.9509,9,0.0784
AB32,Sodium,48,-0.00014,0.3432,8,0.061
AB32,Sodium,49,0.000294,-0.5011,8,0.0939
AB32,Sodium,50,0.003131,-6.2409,9,0.0859
AB32,Sodium,51,-0.019061,38.6492,7,0.1311
AB32,Sodium,52,-0.031846,64.5074,3,0.1538
AB34,CA,1,0.002455,-4.8928,4,0.0705
AB34,CA,2,0.02014,-40.6474,5,0.0765
AB34,CA,3,0.002608,-5.2167,5,0.0571
AB34,CA,4,0.005343,-10.7215,4,0.0822
AB34,CA,5,0.0107,-21.5655,5,0.0708
AB34,CA,6,-0.004086,8.3672,6,0.1055
AB34,CA,7,-0.0107,21.7823,4,0.146
AB34,CA,8,0.012686,-25.556,4,0.0956
AB34,CA,9,0.0285,-57.4958,5,0.1337
AB34,CA,10,0.022486,-45.3419,5,0.1278
AB34,CA,11,-0.201429,407.7536,4,0.4475
AB34,CA,13,-0.050756,103.2966,5,0.6639
AB34,CA,14,-0.013,26.559,5,0.2719
AB34,CA,16,-0.076615,155.3255,3,0.4025
AB34,CA,17,-0.218857,442.5477,3,0.0
AB34,CA,18,-0.0385,78.1745,4,0.3241
AB34,CA,20,-0.07025,142.2542,3,0.2025
AB34,CA,21,-0.026134,52.977,5,0.1311
AB34,CA,22,-0.048176,97.6062,4,0.1892
AB34,CA,23,-0.007324,14.8763,5,0.0659
AB34,CA,24,-0.00123,2.6551,5,0.1684
AB34,CA,25,-0.032416,65.7127,6,0.1644
AB34,CA,26,0.011,-22.1455,6,0.0975
AB34,CA,27,-0.0287,58.1075,5,0.0736
AB34,CA,28,0.03703,-74.6606,5,0.217
AB34,CA,29,0.018929,-38.1214,7,0.1538
AB34,CA,30,0.00825,-16.5186,7,0.1636
AB34,CA,31,-0.016071,32.6527,7,0.1549
AB34,CA,32,-0.013914,28.2717,6,0.1358
AB34,CA,33,0.006393,-12.7094,7,0.2176
AB34,CA,34,-0.029857,60.6019,7,0.2281
AB34,CA,35,0.026942,-54.1675,5,0.3113
AB34,CA,36,0.0935,-188.8452,3,0.22
AB34,CA,37,0.021128,-42.5611,5,0.1614
AB34,CA,38,-0.005526,11.5063,5,0.3316
AB34,CA,39,-0.069703,141.3027,5,0.3578
AB34,CA,40,0.028143,-56.3987,4,0.5086
AB34,CA,41,-0.0055,11.4493,7,0.3278
AB34,CA,42,-0.03925,79.5506,7,0.1837
AB34,CA,43,-0.009056,18.4605,6,0.1487
AB34,CA,44,-0.000168,0.5316,6,0.1925
AB34,CA,45,0.012857,-25.8949,7,0.1034
AB34,CA,46,0.030037,-60.5574,5,0.1806
AB34,CA,47,0.006393,-12.7871,7,0.1398
AB34,CA,48,0.001373,-2.6835,6,0.0922
AB34,CA,49,-0.005814,11.8251,5,0.0688
AB34,CA,50,-0.005143,10.538,7,0.1387
AB34,CA,51,-0.013754,27.8697,5,0.0585
AB34,CA,52,0.032643,-65.8733,3,0.1334
AB34,CL,1,0.002591,-5.1754,4,0.0637
AB34,CL,2,0.007302,-14.721,5,0.0449
AB34,CL,3,-8.1e-05,0.2242,5,0.0602
AB34,CL,4,-0.005543,11.2583,4,0.0502
AB34,CL,5,-0.0001,0.2521,5,0.0499
AB34,CL,6,-0.036143,73.2278,6,0.1438
AB34,CL,7,-0.0494,100.0591,4,0.168
AB34,CL,8,0.014371,-28.9961,4,0.0642
AB34,CL,9,-0.0077,15.629,5,0.0589
AB34,CL,10,-0.006297,12.816,5,0.0823
AB34,CL,11,-0.085571,173.2729,4,0.24
AB34,CL,13,-0.009721,19.8412,5,0.1846
AB34,CL,14,-0.0078,15.8606,5,0.0883
AB34,CL,16,-0.0015,3.084,3,0.0509
AB34,CL,17,-0.042071,85.0946,3,0.0226
AB34,CL,18,-0.014346,29.0819,4,0.0728
AB34,CL,20,-0.00625,12.6738,3,0.0358
AB34,CL,21,-0.006515,13.2133,5,0.0395
AB34,CL,22,-0.012853,26.0365,4,0.0467
AB34,CL,23,0.001338,-2.6748,5,0.0304
AB34,CL,24,-0.003608,7.3305,5,0.0346
AB34,CL,25,-0.009783,19.8326,6,0.0513
AB34,CL,26,-0.000843,1.7434,6,0.039
AB34,CL,27,-0.0003,0.6431,5,0.0365
AB34,CL,28,0.004567,-9.1925,5,0.0427
AB34,CL,29,0.003571,-7.183,7,0.0387
AB34,CL,30,-0.003643,7.4046,7,0.0384
AB34,CL,31,0.00275,-5.5206,7,0.0401
AB34,CL,32,0.000557,-1.0784,6,0.0482
AB34,CL,33,0.001143,-2.2756,7,0.0354
AB34,CL,34,-0.00775,15.7194,7,0.0482
AB34,CL,35,0.000709,-1.3934,5,0.0409
AB34,CL,36,0.0125,-25.2312,3,0.0449
AB34,CL,37,0.000767,-1.5166,5,0.0352
AB34,CL,38,0.000404,-0.7702,5,0.0458
AB34,CL,39,-0.015514,31.4275,5,0.0578
AB34,CL,40,-0.017143,34.7485,4,0.0841
AB34,CL,41,0.000643,-1.2327,7,0.0672
AB34,CL,42,-0.005,10.1426,7,0.0321
AB34,CL,43,0.00013,-0.2283,6,0.0355
AB34,CL,44,0.001764,-3.5214,6,0.0455
AB34,CL,45,0.007464,-15.0478,7,0.0456
AB34,CL,46,0.002254,-4.4952,5,0.062
AB34,CL,47,0.003393,-6.8231,7,0.0376
AB34,CL,48,-0.006112,12.402,6,0.0434
AB34,CL,49,-0.006686,13.5639,5,0.0441
AB34,CL,50,-0.010893,22.0875,7,0.0612
