"Seg_ID","SITE_ID","Start_Date","End_Date","Num_Years","fft_CA_Period","fft_CA_Power","fft_CA_Threshold","fft_CA_Status","fft_K_Period","fft_K_Power","fft_K_Threshold","fft_K_Status","fft_MG_Period","fft_MG_Power","fft_MG_Threshold","fft_MG_Status","fft_NH4_Period","fft_NH4_Power","fft_NH4_Threshold","fft_NH4_Status","fft_NO3_Period","fft_NO3_Power","fft_NO3_Threshold","fft_NO3_Status","fft_SO4_Period","fft_SO4_Power","fft_SO4_Threshold","fft_SO4_Status","fft_Sodium_Period","fft_Sodium_Power","fft_Sodium_Threshold","fft_Sodium_Status"
17,"PR20","2009-05-08","2012-05-08",3,26.67,4.404729,2.146923,"[PASS]",53.33,2.742933,0.840992,"[PASS]",53.33,4.201542,1.26146,"[PASS]",NA,NA,NA,"FAIL BOXCOX",53.33,2.222363,0.965393,"[PASS]",53.33,3.726579,1.081972,"[PASS]",53.33,11.341804,3.002827,"[PASS]"
18,"VA00","2019-12-20","2022-12-20",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"VA28","2002-11-12","2005-11-12",3,NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"VT99","2012-03-27","2015-03-27",3,53.33,6.096523,3.949684,"[PASS]",26.67,41.160329,30.483371,"[PASS]",53.33,4.54705,4.195004,"[PASS]",53.33,2.508821,1.370922,"[PASS]",53.33,7.698953,2.208006,"[PASS]",6.67,3.135835,1.731517,"[PASS]",53.33,59.476838,7.440395,"[PASS]"
21,"VT99","2005-03-15","2008-03-15",3,53.33,13.216895,5.768155,"[PASS]",53.33,23.467129,9.213276,"[PASS]",53.33,14.783927,5.498328,"[PASS]",53.33,3.917111,2.025108,"[PASS]",4.32,2.581206,2.715069,"FAIL (Low SNR)",53.33,7.214891,2.976967,"[PASS]",53.33,20.777288,6.122039,"[PASS]"
22,"WI35","2012-10-02","2015-10-02",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAIL BOXCOX"
23,"WV05","2002-12-03","2005-12-03",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"WV18","2019-01-29","2022-01-29",3,53.33,5.837569,4.575058,"[PASS]",160,20.917169,13.250206,"[PASS]",NA,NA,NA,"FAIL BOXCOX",53.33,4.012214,1.912983,"[PASS]",8.89,2.72592,1.695748,"[PASS]",53.33,1.784102,1.442057,"[PASS]",NA,NA,NA,"FAIL BOXCOX"
25,"WV18","2014-03-04","2017-03-04",3,53.33,6.273896,2.8808,"[PASS]",53.33,5.961627,2.396309,"[PASS]",53.33,12.565632,5.002152,"[PASS]",11.43,3.048858,2.146285,"[PASS]",53.33,2.796276,1.716309,"[PASS]",11.43,2.726322,1.819917,"[PASS]",53.33,26.572007,9.709486,"[PASS]"
26,"WV18","2001-01-16","2004-01-16",3,NA,NA,NA,"FAIL BOXCOX",53.33,15.014661,8.879418,"[PASS]",NA,NA,NA,"FAIL BOXCOX",53.33,8.064834,2.697482,"[PASS]",8,2.377937,1.847304,"[PASS]",53.33,7.905106,1.876294,"[PASS]",53.33,26.192358,6.363616,"[PASS]"
