"Seg_ID","SITE_ID","Start_Date","End_Date","Num_Years","fft_CA_Period","fft_CA_Power","fft_CA_Threshold","fft_CA_Status","fft_HNO3_Period","fft_HNO3_Power","fft_HNO3_Threshold","fft_HNO3_Status","fft_K_Period","fft_K_Power","fft_K_Threshold","fft_K_Status","fft_MG_Period","fft_MG_Power","fft_MG_Threshold","fft_MG_Status","fft_NH4_Period","fft_NH4_Power","fft_NH4_Threshold","fft_NH4_Status","fft_NO3_Period","fft_NO3_Power","fft_NO3_Threshold","fft_NO3_Status","fft_SO2_Period","fft_SO2_Power","fft_SO2_Threshold","fft_SO2_Status","fft_SO4_Period","fft_SO4_Power","fft_SO4_Threshold","fft_SO4_Status","fft_Sodium_Period","fft_Sodium_Power","fft_Sodium_Threshold","fft_Sodium_Status","fft_TNO3_Period","fft_TNO3_Power","fft_TNO3_Threshold","fft_TNO3_Status"
11,"ASH135","2004-01-27","2022-05-03",18.26,53.33,27.202428,3.894127,"[PASS]",25.95,24.752549,2.601359,"[PASS]",25.95,182.582398,18.774553,"[PASS]",NA,NA,NA,"FAIL BOXCOX",25.95,7.027719,1.168881,"[PASS]",NA,NA,NA,"FAIL BOXCOX",53.33,106.581542,2.796602,"[PASS]",50.53,4.329413,0.88187,"[PASS]",53.33,70.917799,2.331354,"[PASS]",53.33,37.359145,1.851258,"[PASS]"
12,"BAS601","2019-01-22","2025-04-08",6.21,51.43,12.396227,2.031783,"[PASS]",51.43,22.919975,0.882913,"[PASS]",51.43,505.885834,58.8109,"[PASS]",51.43,13.558451,1.14679,"[PASS]",51.43,27.631691,3.842908,"[PASS]",51.43,167.803528,6.496391,"[PASS]",51.43,20.785038,1.328182,"[PASS]",51.43,3.199181,0.738903,"[PASS]",180,12.448435,2.839899,"[PASS]",25.71,6.99812,1.012259,"[PASS]"
13,"BBE401","2005-07-12","2015-12-08",10.41,52.36,6.726948,1.082243,"[PASS]",52.36,3.991457,0.451829,"[PASS]",52.36,20.225177,1.48508,"[PASS]",52.36,6.133389,0.304251,"[PASS]",52.36,5.808819,0.465679,"[PASS]",52.36,4.735416,0.617527,"[PASS]",52.36,4.226003,0.951072,"[PASS]",52.36,27.672679,1.323564,"[PASS]",52.36,34.906232,1.210121,"[PASS]",52.36,5.482675,0.45785,"[PASS]"
14,"BFT142","2012-06-26","2018-08-21",6.15,54,10.396194,2.582769,"[PASS]",54,2.397808,0.684287,"[PASS]",54,80.368901,7.639839,"[PASS]",54,2.542881,0.348623,"[PASS]",54,2.066509,0.63344,"[PASS]",54,2.888114,0.490184,"[PASS]",54,7.95905,0.907518,"[PASS]",54,2.190675,0.241842,"[PASS]",54,6.278404,1.09555,"[PASS]",54,3.28991,0.465564,"[PASS]"
15,"BFT142","2000-01-04","2007-07-03",7.49,50,48.605674,3.517108,"[PASS]",50,4.4207,1.495023,"[PASS]",50,32.462831,3.683826,"[PASS]",50,1.090025,0.140715,"[PASS]",5.88,1.919608,0.90856,"[PASS]",50,7.576129,1.079344,"[PASS]",50,40.701998,2.235586,"[PASS]",50,6.364779,0.753356,"[PASS]",50,6.086412,1.094001,"[PASS]",50,11.687589,1.246377,"[PASS]"
16,"BVL130","2006-12-05","2018-12-25",12.05,53.33,16.015915,1.124103,"[PASS]",53.33,60.577251,1.859522,"[PASS]",53.33,29.810297,1.407473,"[PASS]",53.33,5.6581,0.313295,"[PASS]",53.33,13.364808,0.942709,"[PASS]",53.33,119.462402,2.597156,"[PASS]",53.33,14.586737,0.841212,"[PASS]",53.33,4.3007,0.666165,"[PASS]",53.33,92.830552,5.229019,"[PASS]",53.33,13.222385,0.563454,"[PASS]"
17,"BVL130","2000-01-04","2006-11-28",6.9,53.57,3.657269,0.735173,"[PASS]",53.57,59.452705,2.920167,"[PASS]",53.57,5.713097,0.448878,"[PASS]",53.57,3.69424,0.354636,"[PASS]",26.79,1.540121,0.805874,"[PASS]",53.57,94.693344,3.409467,"[PASS]",53.57,2.41709,0.233488,"[PASS]",53.57,6.136723,0.525753,"[PASS]",53.57,24.350057,2.378003,"[PASS]",53.57,6.072163,0.684286,"[PASS]"
18,"BWR139","2007-06-19","2022-03-01",14.7,26.48,5.916236,1.046425,"[PASS]",51.2,9.014228,0.793657,"[PASS]",51.2,39.888052,2.480254,"[PASS]",51.2,19.208614,1.855474,"[PASS]",51.2,7.700563,0.760411,"[PASS]",51.2,83.298943,2.044521,"[PASS]",51.2,8.460927,0.602847,"[PASS]",51.2,3.071702,0.281451,"[PASS]",25.6,7.452284,1.895746,"[PASS]",51.2,10.285717,0.395469,"[PASS]"
19,"BWR139","2000-01-04","2005-05-31",5.4,26.18,0.936584,0.377699,"[PASS]",48,9.362827,2.063299,"[PASS]",57.6,0.238067,0.053065,"[PASS]",26.18,2.262872,0.442185,"[PASS]",26.18,1.876116,0.739513,"[PASS]",48,33.61719,3.400368,"[PASS]",57.6,4.675233,0.669755,"[PASS]",48,5.011003,0.604067,"[PASS]",26.18,2.881246,1.179306,"[PASS]",57.6,2.816487,0.769241,"[PASS]"
20,"CAD150","2004-06-08","2015-07-21",11.12,5.77,1.793222,0.864154,"[PASS]",50,2.850174,0.537067,"[PASS]",54.55,7.934334,0.742281,"[PASS]",54.55,5.552716,0.584447,"[PASS]",50,2.50805,0.844657,"[PASS]",NA,NA,NA,"FAIL BOXCOX",26.09,5.89303,0.810749,"[PASS]",50,7.672172,0.656821,"[PASS]",54.55,20.689561,3.13177,"[PASS]",26.09,4.027995,0.538503,"[PASS]"
21,"CAN407","2013-10-15","2019-01-08",5.23,26.18,2.210116,0.439113,"[PASS]",48,4.437203,0.547636,"[PASS]",18,1.278524,0.701337,"[PASS]",57.6,0.164984,0.02634,"[PASS]",48,1.594252,0.293494,"[PASS]",26.18,8.503606,2.814738,"[PASS]",96,2.572341,0.70374,"[PASS]",48,2.005473,0.281295,"[PASS]",48,4.677372,2.811324,"[PASS]",26.18,4.508634,0.556625,"[PASS]"
22,"CAN407","2000-08-29","2013-09-24",13.07,51.43,24.105219,0.88275,"[PASS]",51.43,7.269917,0.508824,"[PASS]",25.71,0.993568,0.424175,"[PASS]",51.43,9.960945,0.299462,"[PASS]",51.43,1.79566,0.160915,"[PASS]",51.43,29.601185,2.030318,"[PASS]",51.43,12.270317,0.70787,"[PASS]",51.43,10.645894,0.412613,"[PASS]",51.43,4.877927,1.070485,"[PASS]",25.71,4.117319,0.47249,"[PASS]"
23,"CAT175","2011-03-15","2018-11-27",7.7,50.62,2.307623,0.371225,"[PASS]",13.06,1.08255,0.536789,"[PASS]",50.62,27.472309,2.1477,"[PASS]",NA,NA,NA,"FAIL BOXCOX",25.31,1.306839,0.405148,"[PASS]",50.62,55.322858,2.470705,"[PASS]",50.62,21.322323,1.708876,"[PASS]",50.62,2.437052,0.535145,"[PASS]",50.62,22.103173,2.271364,"[PASS]",50.62,5.204606,0.663559,"[PASS]"
24,"CDR119","2000-01-04","2009-12-15",9.95,25.71,13.596232,1.927049,"[PASS]",54,17.568878,0.841363,"[PASS]",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",54,16.215098,0.752727,"[PASS]",NA,NA,NA,"FAIL BOXCOX",54,45.642609,1.741071,"[PASS]",54,11.072094,0.49401,"[PASS]",54,64.370141,4.429675,"[PASS]",54,24.267147,0.931764,"[PASS]"
25,"CDZ171","2011-10-04","2017-03-07",5.42,26.18,2.001815,0.909154,"[PASS]",48,0.988686,0.541529,"[PASS]",57.6,3.5789,0.520634,"[PASS]",48,1.846423,0.645691,"[PASS]",26.18,2.272385,0.697379,"[PASS]",48,29.378692,2.95526,"[PASS]",48,6.725887,0.792224,"[PASS]",57.6,3.026494,0.749926,"[PASS]",48,7.533371,4.328704,"[PASS]",48,2.838603,0.331847,"[PASS]"
26,"CDZ171","2001-08-28","2008-01-29",6.42,25.71,1.580602,0.805467,"[PASS]",51.43,1.115337,0.620281,"[PASS]",51.43,1.56051,0.09757,"[PASS]",51.43,0.959106,0.261201,"[PASS]",51.43,6.879992,0.746896,"[PASS]",51.43,96.953003,3.804454,"[PASS]",51.43,23.348058,1.865392,"[PASS]",51.43,10.155817,0.479834,"[PASS]",51.43,11.821858,3.893643,"[PASS]",51.43,5.721352,0.391644,"[PASS]"
27,"CHA467","2003-07-29","2018-12-18",15.39,26.13,14.349808,1.438603,"[PASS]",50.62,23.101756,1.012398,"[PASS]",50.62,7.921269,0.49045,"[PASS]",50.62,12.773252,0.894185,"[PASS]",50.62,7.828025,0.333126,"[PASS]",54,4.8757,0.379604,"[PASS]",26.13,3.23235,0.395815,"[PASS]",50.62,19.119672,0.792828,"[PASS]",50.62,16.093656,1.616671,"[PASS]",50.62,14.824019,0.601891,"[PASS]"
28,"CHE185","2009-01-27","2019-08-06",10.52,96,2.276583,1.04054,"[PASS]",52.36,2.117783,0.502714,"[PASS]",52.36,65.699424,4.320281,"[PASS]",52.36,5.791438,0.501126,"[PASS]",52.36,5.479062,0.952938,"[PASS]",52.36,94.080212,3.148712,"[PASS]",52.36,13.49048,0.658035,"[PASS]",52.36,8.10421,0.754275,"[PASS]",52.36,32.432796,4.110585,"[PASS]",52.36,12.67349,0.539267,"[PASS]"
29,"CKT136","2018-05-01","2024-07-09",6.19,27,1.544655,0.505448,"[PASS]",54,5.028105,0.78,"[PASS]",54,30.31506,1.727241,"[PASS]",54,0.689553,0.152815,"[PASS]",27,1.91921,0.8669,"[PASS]",54,66.863093,3.389732,"[PASS]",54,11.064891,1.220106,"[PASS]",54,1.18274,0.454293,"[PASS]",54,14.47999,3.601399,"[PASS]",54,12.058528,0.829694,"[PASS]"
30,"CND125","2017-09-26","2023-07-25",5.83,26.67,7.025774,1.695828,"[PASS]",29.09,0.592644,0.369295,"[PASS]",53.33,45.855783,6.685465,"[PASS]",26.67,11.80345,1.713781,"[PASS]",26.67,1.110947,0.639598,"[PASS]",53.33,29.56384,1.745771,"[PASS]",53.33,25.167421,1.499207,"[PASS]",53.33,1.377378,0.322662,"[PASS]",26.67,12.587317,3.718318,"[PASS]",53.33,6.027307,0.480511,"[PASS]"
31,"CND125","2004-08-17","2016-08-09",11.98,25.6,6.168708,1.118728,"[PASS]",53.33,2.47714,0.476037,"[PASS]",53.33,18.442683,1.60311,"[PASS]",26.67,7.666605,1.122551,"[PASS]",49.23,3.275326,0.659754,"[PASS]",53.33,120.577948,3.046436,"[PASS]",53.33,34.64213,1.256313,"[PASS]",53.33,8.623242,0.447429,"[PASS]",26.67,8.41571,2.946768,"[PASS]",53.33,9.509804,0.391362,"[PASS]"
32,"CNT169","2000-01-04","2016-09-13",16.69,52.94,85.46875,1.524288,"[PASS]",52.94,42.526015,0.863446,"[PASS]",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",52.94,16.278735,0.301052,"[PASS]",NA,NA,NA,"FAIL BOXCOX",52.94,1.009618,0.290028,"[PASS]",52.94,26.501176,0.514818,"[PASS]",NA,NA,NA,"FAIL BOXCOX",52.94,35.82138,0.643041,"[PASS]"
33,"COW137","2000-01-04","2019-11-05",19.84,51.43,21.528655,1.444903,"[PASS]",51.43,15.11099,0.609168,"[PASS]",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",51.43,35.404144,0.865793,"[PASS]",NA,NA,NA,"FAIL BOXCOX",51.43,96.9654,2.183264,"[PASS]",51.43,52.855935,1.048797,"[PASS]",51.43,36.896995,4.695587,"[PASS]",51.43,27.159629,0.731509,"[PASS]"
34,"CTH110","2016-01-05","2024-07-09",8.51,50,4.285552,0.802158,"[PASS]",50,2.031294,0.436556,"[PASS]",50,57.978591,5.249322,"[PASS]",50,1.707237,0.321232,"[PASS]",26.47,7.524883,0.830488,"[PASS]",50,106.693145,3.698806,"[PASS]",50,16.816283,1.702705,"[PASS]",26.47,1.231884,0.355739,"[PASS]",50,76.866777,5.496645,"[PASS]",50,17.273952,0.92162,"[PASS]"
35,"CTH110","2001-08-28","2012-10-02",11.1,50,5.374224,0.578332,"[PASS]",54.55,2.649911,0.717182,"[PASS]",50,14.933316,2.200941,"[PASS]",NA,NA,NA,"FAIL BOXCOX",54.55,4.095846,0.688359,"[PASS]",54.55,60.529139,2.935543,"[PASS]",50,27.606092,1.946743,"[PASS]",50,4.143669,0.437542,"[PASS]",54.55,66.905413,4.381329,"[PASS]",50,8.9148,0.682097,"[PASS]"
36,"CVL151","2009-01-20","2019-08-06",10.54,96,2.69427,1.104439,"[PASS]",52.36,2.014591,0.638352,"[PASS]",52.36,100.417322,5.547655,"[PASS]",52.36,10.510047,1.014528,"[PASS]",26.18,0.889046,0.410553,"[PASS]",52.36,20.577668,1.325955,"[PASS]",52.36,31.541947,1.143608,"[PASS]",52.36,6.65685,0.56755,"[PASS]",52.36,21.707602,2.972676,"[PASS]",52.36,7.518265,0.624511,"[PASS]"
37,"CVL151","2000-06-13","2005-08-23",5.19,9,0.533819,0.31924,"[PASS]",57.6,1.730528,0.851328,"[PASS]",48,0.196878,0.046928,"[PASS]",48,0.752399,0.267351,"[PASS]",48,1.880096,0.854696,"[PASS]",48,15.133592,2.327952,"[PASS]",57.6,15.849834,1.996284,"[PASS]",48,4.340194,0.776785,"[PASS]",48,5.126006,2.339831,"[PASS]",57.6,4.166153,0.626909,"[PASS]"
38,"DCP114","2016-03-15","2022-05-10",6.15,54,0.980081,0.346769,"[PASS]",54,9.13094,0.65434,"[PASS]",54,114.87937,6.522738,"[PASS]",54,0.458617,0.078649,"[PASS]",54,8.737005,1.156883,"[PASS]",54,105.241744,4.122771,"[PASS]",54,6.866621,0.73899,"[PASS]",27,1.402803,0.379705,"[PASS]",54,149.104916,12.144366,"[PASS]",54,8.151975,0.46285,"[PASS]"
39,"DCP114","2008-09-23","2015-11-10",7.13,26.79,2.953571,0.908028,"[PASS]",53.57,13.081276,0.885436,"[PASS]",53.57,195.088813,15.012451,"[PASS]",53.57,2.489693,0.551133,"[PASS]",26.79,4.737527,0.637767,"[PASS]",53.57,135.889483,4.076002,"[PASS]",53.57,20.737213,1.041622,"[PASS]",53.57,3.901765,0.528322,"[PASS]",53.57,122.405877,6.190195,"[PASS]",53.57,8.053734,0.411857,"[PASS]"
40,"DCP114","2000-01-04","2008-09-09",8.68,53.33,0.917106,0.379279,"[PASS]",53.33,12.933938,1.053131,"[PASS]",53.33,2.074595,0.129741,"[PASS]",53.33,0.662936,0.091283,"[PASS]",53.33,3.692013,0.637308,"[PASS]",53.33,135.678573,3.983931,"[PASS]",53.33,23.612703,1.104763,"[PASS]",53.33,8.466079,0.3996,"[PASS]",53.33,54.105374,2.756453,"[PASS]",53.33,3.673478,0.289613,"[PASS]"
41,"DEN417","2017-07-04","2023-01-03",5.5,48,22.276069,4.417756,"[PASS]",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",48,38.083859,6.960022,"[PASS]",NA,NA,NA,"FAIL BOXCOX",48,40.831746,4.710231,"[PASS]",48,5.303457,1.568882,"[PASS]",48,87.37156,13.981933,"[PASS]",48,307.878621,67.664251,"[PASS]"
42,"DEN417","2002-01-01","2017-06-27",15.49,NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",50.62,50.931281,3.188509,"[PASS]",NA,NA,NA,"FAIL BOXCOX",50.62,115.520542,3.881091,"[PASS]",50.62,24.981686,2.107961,"[PASS]",NA,NA,NA,"FAIL BOXCOX",50.62,260.677088,16.100218,"[PASS]"
43,"DEV412","2001-03-13","2007-07-24",6.36,51.43,10.553765,1.076171,"[PASS]",51.43,18.564112,1.336012,"[PASS]",51.43,7.432988,0.386075,"[PASS]",51.43,6.339303,0.527097,"[PASS]",51.43,14.199163,0.539568,"[PASS]",51.43,8.598429,0.604214,"[PASS]",51.43,45.095575,1.473632,"[PASS]",51.43,28.887271,1.169605,"[PASS]",51.43,7.08688,0.941609,"[PASS]",51.43,25.462327,1.698045,"[PASS]"
44,"DIN431","2017-07-11","2023-08-01",6.06,53.33,7.643528,0.750987,"[PASS]",53.33,14.280908,0.969393,"[PASS]",53.33,39.436509,3.252527,"[PASS]",53.33,1.667093,0.126176,"[PASS]",26.67,112.239986,13.719273,"[PASS]",53.33,188.568368,9.16736,"[PASS]",26.67,15.052055,1.713961,"[PASS]",40,1.317071,0.364189,"[PASS]",53.33,4.96951,1.887612,"[PASS]",26.67,19.580476,1.511188,"[PASS]"
45,"EGB181","2011-03-01","2019-04-23",8.15,54,5.01009,0.715784,"[PASS]",54,32.565047,1.737804,"[PASS]",54,3.473734,0.298925,"[PASS]",54,1.45923,0.276618,"[PASS]",54,13.793053,1.222418,"[PASS]",54,85.189961,3.454488,"[PASS]",54,13.309947,1.150878,"[PASS]",15.43,1.162461,0.690145,"[PASS]",54,331.075608,13.381987,"[PASS]",54,16.088494,1.526473,"[PASS]"
46,"EGB181","2001-07-24","2007-04-24",5.75,53.33,13.508795,1.770165,"[PASS]",53.33,30.504926,2.015891,"[PASS]",53.33,0.586524,0.073764,"[PASS]",53.33,1.120355,0.131664,"[PASS]",26.67,1.174873,1.230328,"FAIL (Low SNR)",53.33,56.104219,3.382138,"[PASS]",53.33,21.359827,2.113448,"[PASS]",53.33,3.34732,0.735952,"[PASS]",53.33,138.838004,6.317753,"[PASS]",53.33,8.364079,1.738561,"[PASS]"
47,"ESP127","2018-06-26","2023-08-01",5.1,27,1.743853,0.802015,"[PASS]",54,5.371154,0.700331,"[PASS]",54,90.927184,5.939401,"[PASS]",54,2.387475,0.790164,"[PASS]",27,1.510859,0.668171,"[PASS]",54,87.534895,5.08733,"[PASS]",54,22.418553,1.390192,"[PASS]",54,1.049406,0.336389,"[PASS]",54,8.006329,3.820844,"[PASS]",54,18.543141,1.070604,"[PASS]"
48,"ESP127","2000-01-04","2016-08-02",16.58,25.71,2.30646,0.604458,"[PASS]",52.94,21.269307,0.584186,"[PASS]",52.94,47.917626,1.511581,"[PASS]",NA,NA,NA,"FAIL BOXCOX",50,8.036043,0.752337,"[PASS]",NA,NA,NA,"FAIL BOXCOX",52.94,116.827473,2.155395,"[PASS]",52.94,16.131217,0.686571,"[PASS]",52.94,38.458109,3.903339,"[PASS]",52.94,49.426352,0.872785,"[PASS]"
49,"FOR605","2013-11-05","2018-12-18",5.12,54,24.839853,1.570386,"[PASS]",54,13.756168,1.258628,"[PASS]",54,482.638418,27.606785,"[PASS]",54,15.083123,0.878786,"[PASS]",54,1.273656,0.600433,"[PASS]",30,10.058359,4.725337,"[PASS]",54,11.33702,1.410401,"[PASS]",54,1.877921,0.35575,"[PASS]",NA,NA,NA,"FAIL BOXCOX",54,3.148689,0.787077,"[PASS]"
50,"GAS153","2000-07-18","2024-07-09",23.98,26.12,19.669237,1.319007,"[PASS]",71.11,0.964113,0.560431,"[PASS]",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",51.2,10.048116,0.667539,"[PASS]",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",51.2,18.736096,0.590872,"[PASS]",26.12,14.809613,2.637922,"[PASS]",53.33,5.382684,0.371839,"[PASS]"
51,"GLR468","2004-01-13","2011-03-08",7.15,53.57,138.908642,5.75001,"[PASS]",53.57,1.045234,0.291317,"[PASS]",53.57,58.924874,3.274721,"[PASS]",NA,NA,NA,"FAIL BOXCOX",15.62,2.343045,1.425351,"[PASS]",53.57,111.476438,8.284499,"[PASS]",53.57,9.709462,1.555239,"[PASS]",53.57,2.855882,0.768217,"[PASS]",53.57,14.640957,1.068172,"[PASS]",53.57,11.980352,1.933166,"[PASS]"
52,"GRB411","2012-05-01","2018-12-18",6.63,51.43,19.958749,1.166782,"[PASS]",51.43,57.872333,1.84842,"[PASS]",51.43,39.038085,1.680336,"[PASS]",51.43,7.785761,0.41454,"[PASS]",51.43,10.422645,0.399147,"[PASS]",51.43,9.141607,0.614261,"[PASS]",90,8.834459,1.847521,"[PASS]",51.43,15.54958,0.664243,"[PASS]",51.43,63.021488,4.967344,"[PASS]",51.43,27.572251,0.911871,"[PASS]"
53,"GRC474","2010-01-26","2019-01-22",8.99,53.33,12.212246,0.515721,"[PASS]",53.33,18.866473,0.831679,"[PASS]",53.33,28.035038,0.87734,"[PASS]",NA,NA,NA,"FAIL BOXCOX",53.33,6.087877,0.202883,"[PASS]",53.33,8.269784,0.468897,"[PASS]",160,2.251487,0.703554,"[PASS]",53.33,20.437108,0.627886,"[PASS]",53.33,35.804619,1.381445,"[PASS]",53.33,13.284494,0.482379,"[PASS]"
54,"GRC474","2003-07-29","2009-05-12",5.79,53.33,8.928975,0.751857,"[PASS]",53.33,6.101218,0.478481,"[PASS]",53.33,8.871856,0.517272,"[PASS]",53.33,5.166318,0.349699,"[PASS]",53.33,3.756305,0.182674,"[PASS]",53.33,5.327197,0.683275,"[PASS]",64,0.718186,0.510847,"[PASS]",53.33,16.145995,0.707903,"[PASS]",53.33,17.801631,1.382675,"[PASS]",53.33,6.013849,0.449134,"[PASS]"
55,"GTH161","2013-05-28","2020-11-10",7.46,50,7.515892,0.621059,"[PASS]",50,8.071358,0.639919,"[PASS]",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",50,6.824392,0.398524,"[PASS]",50,6.646028,0.617026,"[PASS]",200,9.474862,1.638004,"[PASS]",50,6.116945,0.350822,"[PASS]",50,10.865771,1.069633,"[PASS]",50,4.408748,0.317175,"[PASS]"
56,"GTH161","2004-06-22","2013-05-21",8.91,53.33,58.931045,2.320507,"[PASS]",53.33,2.979039,0.153231,"[PASS]",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",53.33,5.571062,0.215997,"[PASS]",53.33,27.205151,1.334569,"[PASS]",120,2.227779,0.482002,"[PASS]",53.33,11.843627,0.464422,"[PASS]",NA,NA,NA,"FAIL BOXCOX",53.33,5.884265,0.236391,"[PASS]"
