"Seg_ID","SITE_ID","Start_Date","End_Date","Num_Years","acf_SO2_Lag","acf_SO2_Value","acf_SO2_Threshold","acf_SO2_Status","acf_SO4_Lag","acf_SO4_Value","acf_SO4_Threshold","acf_SO4_Status","acf_HNO3_Lag","acf_HNO3_Value","acf_HNO3_Threshold","acf_HNO3_Status","acf_NO3_Lag","acf_NO3_Value","acf_NO3_Threshold","acf_NO3_Status","acf_TNO3_Lag","acf_TNO3_Value","acf_TNO3_Threshold","acf_TNO3_Status","acf_NH4_Lag","acf_NH4_Value","acf_NH4_Threshold","acf_NH4_Status","acf_CA_Lag","acf_CA_Value","acf_CA_Threshold","acf_CA_Status","acf_K_Lag","acf_K_Value","acf_K_Threshold","acf_K_Status","acf_MG_Lag","acf_MG_Value","acf_MG_Threshold","acf_MG_Status","acf_Sodium_Lag","acf_Sodium_Value","acf_Sodium_Threshold","acf_Sodium_Status"
11,"ANA115","2000-01-04","2005-01-04",5,30,0.1882,0.1232,"PASS",11,0.147,0.1232,"PASS",42,0.1772,0.1232,"PASS",5,0.1417,0.1232,"PASS",57,0.1378,0.1232,"PASS",19,0.1678,0.1237,"PASS",57,0.1709,0.1237,"PASS",NA,NA,NA,"FAIL BOXCOX",57,0.1767,0.1237,"PASS",54,0.1536,0.1237,"PASS"
12,"ARE128","2016-02-08","2021-02-08",5,61,0.1389,0.1216,"PASS",9,0.1902,0.1216,"PASS",87,0.133,0.1216,"PASS",4,0.1441,0.1216,"PASS",13,0.1589,0.1216,"PASS",85,0.1556,0.1216,"PASS",31,0.1955,0.122,"PASS",9,0.1667,0.122,"PASS",85,0.1431,0.122,"PASS",52,0.1879,0.122,"PASS"
13,"ARE128","2011-02-08","2016-02-08",5,19,0.1574,0.1223,"PASS",117,0.1439,0.1223,"PASS",24,0.1793,0.1223,"PASS",30,0.1459,0.1223,"PASS",27,0.1494,0.1223,"PASS",5,0.1648,0.1223,"PASS",35,0.1481,0.1223,"PASS",52,0.164,0.1227,"PASS",95,0.1119,0.1223,"FAIL",95,0.1405,0.1223,"PASS"
14,"ARE128","2000-01-04","2005-01-04",5,75,0.1559,0.1225,"PASS",157,0.1144,0.1225,"FAIL",44,0.1669,0.1223,"PASS",62,0.1668,0.1225,"PASS",36,0.1456,0.1225,"PASS",182,0.1321,0.1225,"PASS",149,0.1532,0.1225,"PASS",NA,NA,NA,"FAIL BOXCOX",51,0.1776,0.1225,"PASS",51,0.1844,0.1225,"PASS"
15,"ASH135","2014-01-27","2019-01-27",5,55,0.1798,0.122,"PASS",60,0.1241,0.122,"PASS",16,0.2,0.122,"PASS",NA,NA,NA,"FAIL BOXCOX",20,0.184,0.122,"PASS",16,0.1414,0.122,"PASS",44,0.1414,0.122,"PASS",131,0.1134,0.1225,"FAIL",NA,NA,NA,"FAIL BOXCOX",147,0.1119,0.122,"FAIL"
16,"ASH135","2009-01-27","2014-01-27",5,40,0.173,0.1225,"PASS",93,0.143,0.1225,"PASS",24,0.131,0.1225,"PASS",61,0.1761,0.1225,"PASS",14,0.1213,0.1225,"FAIL",152,0.1526,0.1225,"PASS",100,0.1575,0.1225,"PASS",6,0.1341,0.123,"PASS",19,0.1647,0.1225,"PASS",59,0.1337,0.1225,"PASS"
17,"ASH135","2004-01-27","2009-01-27",5,108,0.1485,0.122,"PASS",17,0.1842,0.122,"PASS",23,0.1609,0.122,"PASS",NA,NA,NA,"FAIL BOXCOX",58,0.1376,0.122,"PASS",9,0.2144,0.122,"PASS",115,0.162,0.122,"PASS",56,0.1887,0.122,"PASS",121,0.1535,0.122,"PASS",4,0.2245,0.122,"PASS"
18,"BAS601","2019-01-22","2024-01-22",5,16,0.1271,0.1242,"PASS",32,0.2101,0.1242,"PASS",10,0.143,0.1242,"PASS",19,0.2089,0.1242,"PASS",32,0.2372,0.1242,"PASS",32,0.2147,0.1242,"PASS",28,0.1382,0.1242,"PASS",32,0.1574,0.1242,"PASS",115,0.0972,0.1242,"FAIL",77,0.1498,0.1242,"PASS"
19,"BBE401","2010-07-12","2015-07-12",5,40,0.1579,0.1235,"PASS",51,0.1563,0.1235,"PASS",65,0.1431,0.1235,"PASS",63,0.1562,0.1235,"PASS",47,0.1715,0.1235,"PASS",51,0.1401,0.1235,"PASS",57,0.1714,0.1235,"PASS",6,0.1535,0.124,"PASS",80,0.1222,0.1235,"FAIL",86,0.1953,0.1235,"PASS"
20,"BBE401","2005-07-12","2010-07-12",5,51,0.1755,0.1227,"PASS",14,0.1403,0.1227,"PASS",58,0.1727,0.1227,"PASS",59,0.1534,0.1227,"PASS",48,0.1271,0.1227,"PASS",89,0.112,0.1227,"FAIL",59,0.1857,0.1227,"PASS",29,0.1105,0.1227,"FAIL",59,0.1929,0.1227,"PASS",53,0.1367,0.1227,"PASS"
21,"BFT142","2012-06-26","2017-06-26",5,55,0.1778,0.1232,"PASS",36,0.1392,0.1232,"PASS",36,0.1723,0.1232,"PASS",163,0.1144,0.1232,"FAIL",105,0.1236,0.1232,"PASS",4,0.1654,0.1232,"PASS",9,0.1484,0.1232,"PASS",57,0.1691,0.1232,"PASS",50,0.1634,0.1232,"PASS",33,0.1366,0.1232,"PASS"
22,"BFT142","2000-01-04","2005-01-04",5,20,0.1641,0.1232,"PASS",13,0.162,0.1232,"PASS",119,0.1366,0.1227,"PASS",20,0.1429,0.1232,"PASS",13,0.1646,0.1232,"PASS",13,0.1727,0.1232,"PASS",56,0.1642,0.1232,"PASS",68,0.122,0.1232,"FAIL",125,0.149,0.1232,"PASS",57,0.1489,0.1232,"PASS"
23,"BVL130","2011-12-05","2016-12-05",5,35,0.1807,0.124,"PASS",51,0.1502,0.124,"PASS",29,0.1562,0.124,"PASS",36,0.1597,0.124,"PASS",30,0.1453,0.124,"PASS",30,0.1741,0.124,"PASS",20,0.166,0.124,"PASS",6,0.1753,0.124,"PASS",20,0.2028,0.124,"PASS",49,0.1496,0.1245,"PASS"
24,"BVL130","2006-12-05","2011-12-05",5,124,0.1287,0.1223,"PASS",22,0.1138,0.1223,"FAIL",133,0.1359,0.1223,"PASS",63,0.1795,0.1223,"PASS",46,0.1299,0.1223,"PASS",122,0.1074,0.1223,"FAIL",25,0.1555,0.1223,"PASS",15,0.2115,0.1223,"PASS",25,0.1147,0.1223,"FAIL",28,0.1451,0.1223,"PASS"
25,"BVL130","2000-01-04","2005-01-04",5,54,0.1925,0.1242,"PASS",95,0.1583,0.1237,"PASS",54,0.162,0.1237,"PASS",9,0.1513,0.1237,"PASS",84,0.1256,0.1242,"PASS",78,0.1554,0.1237,"PASS",27,0.1778,0.1237,"PASS",163,0.1356,0.1237,"PASS",27,0.1625,0.1237,"PASS",80,0.1727,0.1237,"PASS"
26,"BWR139","2012-06-19","2017-06-19",5,30,0.1195,0.122,"FAIL",76,0.1309,0.122,"PASS",54,0.2121,0.122,"PASS",10,0.1711,0.122,"PASS",65,0.1582,0.122,"PASS",105,0.1238,0.122,"PASS",51,0.197,0.122,"PASS",9,0.1516,0.122,"PASS",NA,NA,NA,"FAIL BOXCOX",62,0.1158,0.122,"FAIL"
27,"BWR139","2007-06-19","2012-06-19",5,29,0.1783,0.123,"PASS",41,0.154,0.123,"PASS",7,0.2004,0.123,"PASS",104,0.1477,0.123,"PASS",52,0.1379,0.123,"PASS",157,0.1568,0.123,"PASS",9,0.1279,0.123,"PASS",17,0.1896,0.123,"PASS",18,0.2232,0.123,"PASS",18,0.1533,0.123,"PASS"
28,"BWR139","2000-01-04","2005-01-04",5,111,0.1509,0.1232,"PASS",157,0.1714,0.1227,"PASS",38,0.1525,0.1232,"PASS",58,0.1285,0.1227,"PASS",88,0.142,0.1232,"PASS",157,0.1513,0.1227,"PASS",27,0.1417,0.1227,"PASS",17,0.1658,0.1227,"PASS",49,0.1794,0.1227,"PASS",49,0.1508,0.1227,"PASS"
29,"CAD150","2009-06-08","2014-06-08",5,22,0.1646,0.1225,"PASS",4,0.1698,0.1225,"PASS",70,0.1519,0.1225,"PASS",92,0.1427,0.1225,"PASS",4,0.2737,0.1225,"PASS",168,0.1812,0.1225,"PASS",57,0.2421,0.1225,"PASS",4,0.1753,0.1225,"PASS",63,0.1535,0.1225,"PASS",79,0.153,0.1225,"PASS"
30,"CAD150","2004-06-08","2009-06-08",5,88,0.1404,0.1232,"PASS",40,0.1453,0.1232,"PASS",50,0.1784,0.1232,"PASS",NA,NA,NA,"FAIL BOXCOX",50,0.1417,0.1232,"PASS",67,0.1461,0.1232,"PASS",5,0.1635,0.1232,"PASS",47,0.2059,0.1232,"PASS",134,0.1275,0.1232,"PASS",63,0.1515,0.1232,"PASS"
31,"CAN407","2013-10-15","2018-10-15",5,6,0.1537,0.1232,"PASS",7,0.1979,0.1232,"PASS",91,0.1855,0.1232,"PASS",25,0.1581,0.1232,"PASS",91,0.1286,0.1232,"PASS",68,0.1792,0.1232,"PASS",53,0.2318,0.1232,"PASS",57,0.1693,0.1237,"PASS",53,0.187,0.1232,"PASS",4,0.1925,0.1232,"PASS"
32,"CAN407","2005-08-29","2010-08-29",5,27,0.1423,0.1216,"PASS",18,0.1256,0.1216,"PASS",162,0.1507,0.1216,"PASS",194,0.1121,0.1216,"FAIL",216,0.144,0.1216,"PASS",162,0.1224,0.1216,"PASS",31,0.1632,0.1216,"PASS",31,0.1566,0.1216,"PASS",31,0.1523,0.1216,"PASS",5,0.1556,0.1216,"PASS"
33,"CAN407","2000-08-29","2005-08-29",5,6,0.1078,0.1227,"FAIL",15,0.1125,0.1227,"FAIL",6,0.1745,0.1227,"PASS",24,0.1399,0.1227,"PASS",6,0.1895,0.1227,"PASS",52,0.1293,0.1227,"PASS",19,0.1446,0.1227,"PASS",68,0.1496,0.1227,"PASS",19,0.1291,0.1227,"PASS",19,0.173,0.1227,"PASS"
34,"CAT175","2011-03-15","2016-03-15",5,12,0.1622,0.126,"PASS",53,0.1371,0.1255,"PASS",39,0.1465,0.1255,"PASS",44,0.1531,0.1255,"PASS",5,0.2195,0.1255,"PASS",14,0.1503,0.1255,"PASS",5,0.1945,0.1255,"PASS",44,0.2176,0.1265,"PASS",27,0.1478,0.1255,"PASS",154,0.1615,0.1255,"PASS"
35,"CDR119","2000-01-04","2005-01-04",5,150,0.1394,0.1232,"PASS",46,0.1567,0.1227,"PASS",52,0.1468,0.1227,"PASS",NA,NA,NA,"FAIL BOXCOX",52,0.1578,0.1227,"PASS",28,0.1187,0.1227,"FAIL",27,0.2383,0.1227,"PASS",60,0.196,0.1227,"PASS",27,0.1547,0.1227,"PASS",117,0.1325,0.1227,"PASS"
36,"CDZ171","2011-10-04","2016-10-04",5,20,0.1223,0.1225,"FAIL",111,0.1244,0.1225,"PASS",45,0.1358,0.1225,"PASS",86,0.2145,0.1225,"PASS",172,0.1311,0.1225,"PASS",98,0.1208,0.1225,"FAIL",102,0.1079,0.1225,"FAIL",63,0.1745,0.1225,"PASS",27,0.1217,0.1225,"FAIL",33,0.2137,0.1225,"PASS"
37,"CDZ171","2001-08-28","2006-08-28",5,16,0.1572,0.1232,"PASS",4,0.1771,0.1232,"PASS",141,0.1451,0.1232,"PASS",8,0.2061,0.1232,"PASS",70,0.1364,0.1232,"PASS",50,0.1579,0.1232,"PASS",37,0.2139,0.1232,"PASS",7,0.1442,0.1232,"PASS",29,0.17,0.1232,"PASS",91,0.1611,0.1232,"PASS"
38,"CHA467","2013-07-29","2018-07-29",5,38,0.1527,0.124,"PASS",35,0.1808,0.124,"PASS",14,0.1802,0.124,"PASS",17,0.1662,0.124,"PASS",7,0.1621,0.124,"PASS",35,0.1652,0.124,"PASS",7,0.2233,0.124,"PASS",7,0.1587,0.124,"PASS",72,0.1581,0.124,"PASS",31,0.1198,0.124,"FAIL"
39,"CHA467","2008-07-29","2013-07-29",5,20,0.1785,0.123,"PASS",54,0.1515,0.123,"PASS",6,0.1479,0.123,"PASS",4,0.1846,0.123,"PASS",9,0.1852,0.123,"PASS",54,0.1691,0.123,"PASS",56,0.1138,0.123,"FAIL",124,0.1675,0.123,"PASS",86,0.1426,0.123,"PASS",4,0.2567,0.123,"PASS"
40,"CHA467","2003-07-29","2008-07-29",5,22,0.2409,0.124,"PASS",105,0.1507,0.124,"PASS",22,0.1553,0.124,"PASS",57,0.1465,0.124,"PASS",22,0.3078,0.124,"PASS",87,0.1693,0.124,"PASS",26,0.228,0.124,"PASS",26,0.2448,0.124,"PASS",46,0.177,0.124,"PASS",38,0.1385,0.124,"PASS"
41,"CHE185","2014-01-27","2019-01-27",5,111,0.1432,0.1216,"PASS",120,0.1196,0.1216,"FAIL",8,0.2028,0.1216,"PASS",18,0.1408,0.1216,"PASS",57,0.1985,0.1216,"PASS",89,0.1359,0.1216,"PASS",39,0.1892,0.1216,"PASS",42,0.1916,0.122,"PASS",39,0.1598,0.1216,"PASS",24,0.1737,0.1216,"PASS"
42,"CHE185","2009-01-27","2014-01-27",5,69,0.1726,0.1242,"PASS",28,0.1882,0.1242,"PASS",92,0.2298,0.1242,"PASS",92,0.1835,0.1242,"PASS",57,0.1755,0.1242,"PASS",28,0.1351,0.1242,"PASS",84,0.1719,0.1242,"PASS",26,0.1525,0.1247,"PASS",99,0.1411,0.1242,"PASS",79,0.1568,0.1242,"PASS"
43,"CKT136","2018-05-01","2023-05-01",5,103,0.1409,0.1232,"PASS",17,0.1641,0.1232,"PASS",50,0.1559,0.1232,"PASS",12,0.1724,0.1232,"PASS",38,0.1527,0.1232,"PASS",95,0.143,0.1232,"PASS",89,0.1197,0.1232,"FAIL",77,0.1203,0.1232,"FAIL",52,0.1355,0.1232,"PASS",43,0.1308,0.1232,"PASS"
44,"CND125","2017-09-26","2022-09-26",5,80,0.1604,0.1237,"PASS",15,0.1467,0.1237,"PASS",59,0.1621,0.1237,"PASS",90,0.1711,0.1237,"PASS",12,0.1269,0.1237,"PASS",9,0.1854,0.1237,"PASS",21,0.1722,0.1237,"PASS",112,0.1311,0.1237,"PASS",43,0.166,0.1237,"PASS",43,0.1886,0.1237,"PASS"
45,"CND125","2009-08-17","2014-08-17",5,36,0.1732,0.123,"PASS",106,0.1607,0.123,"PASS",64,0.1257,0.123,"PASS",151,0.1576,0.123,"PASS",60,0.144,0.123,"PASS",142,0.1197,0.123,"FAIL",5,0.1766,0.123,"PASS",62,0.164,0.123,"PASS",31,0.1621,0.123,"PASS",31,0.1727,0.123,"PASS"
46,"CND125","2004-08-17","2009-08-17",5,116,0.1538,0.1242,"PASS",51,0.1789,0.1242,"PASS",51,0.2212,0.1242,"PASS",4,0.1655,0.1242,"PASS",110,0.1548,0.1242,"PASS",70,0.1583,0.1242,"PASS",47,0.134,0.1242,"PASS",29,0.1981,0.1242,"PASS",98,0.1422,0.1242,"PASS",31,0.1068,0.1242,"FAIL"
47,"CNT169","2010-01-04","2015-01-04",5,4,0.2208,0.1265,"PASS",4,0.1519,0.1265,"PASS",49,0.1669,0.1265,"PASS",86,0.2742,0.1265,"PASS",86,0.1643,0.1265,"PASS",62,0.1021,0.1265,"FAIL",86,0.1717,0.1265,"PASS",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX"
48,"CNT169","2005-01-04","2010-01-04",5,104,0.1446,0.125,"PASS",61,0.1425,0.125,"PASS",19,0.2495,0.125,"PASS",NA,NA,NA,"FAIL BOXCOX",8,0.1735,0.125,"PASS",19,0.1375,0.125,"PASS",81,0.1373,0.125,"PASS",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX"
49,"CNT169","2000-01-04","2005-01-04",5,9,0.1469,0.1232,"PASS",18,0.1682,0.1232,"PASS",6,0.154,0.1232,"PASS",NA,NA,NA,"FAIL BOXCOX",49,0.1618,0.1232,"PASS",52,0.1601,0.1232,"PASS",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX"
50,"COW137","2010-01-04","2015-01-04",5,79,0.1887,0.1225,"PASS",37,0.1188,0.1225,"FAIL",61,0.2099,0.1225,"PASS",17,0.1505,0.1225,"PASS",101,0.1258,0.1225,"PASS",25,0.1486,0.1225,"PASS",13,0.1479,0.1225,"PASS",169,0.1241,0.1225,"PASS",NA,NA,NA,"FAIL BOXCOX",33,0.2273,0.1225,"PASS"
51,"COW137","2005-01-04","2010-01-04",5,20,0.2222,0.1255,"PASS",55,0.1557,0.1255,"PASS",40,0.173,0.1255,"PASS",NA,NA,NA,"FAIL BOXCOX",40,0.1938,0.1255,"PASS",92,0.1532,0.1255,"PASS",7,0.1428,0.1255,"PASS",51,0.1685,0.1255,"PASS",120,0.1125,0.1255,"FAIL",20,0.1369,0.1255,"PASS"
52,"COW137","2000-01-04","2005-01-04",5,9,0.2098,0.1218,"PASS",46,0.162,0.1218,"PASS",9,0.2148,0.1218,"PASS",NA,NA,NA,"FAIL BOXCOX",9,0.1937,0.1218,"PASS",46,0.1676,0.1218,"PASS",41,0.1519,0.1218,"PASS",22,0.1653,0.1218,"PASS",12,0.1565,0.1218,"PASS",69,0.1218,0.1218,"PASS"
53,"CTH110","2016-01-05","2021-01-05",5,41,0.1708,0.122,"PASS",59,0.1803,0.122,"PASS",13,0.16,0.122,"PASS",47,0.1816,0.122,"PASS",29,0.1609,0.122,"PASS",17,0.1641,0.122,"PASS",100,0.153,0.122,"PASS",100,0.1444,0.1225,"PASS",178,0.1392,0.122,"PASS",22,0.1283,0.122,"PASS"
54,"CTH110","2006-08-28","2011-08-28",5,64,0.1481,0.1235,"PASS",25,0.1416,0.1235,"PASS",32,0.1368,0.1235,"PASS",91,0.1353,0.1235,"PASS",44,0.1625,0.1235,"PASS",25,0.1882,0.1235,"PASS",135,0.1321,0.1235,"PASS",21,0.1591,0.1235,"PASS",135,0.1264,0.1235,"PASS",65,0.1394,0.1235,"PASS"
55,"CTH110","2001-08-28","2006-08-28",5,45,0.153,0.1227,"PASS",57,0.1557,0.1227,"PASS",39,0.1287,0.1227,"PASS",145,0.123,0.1227,"PASS",11,0.1461,0.1227,"PASS",14,0.1729,0.1227,"PASS",34,0.1526,0.1227,"PASS",NA,NA,NA,"FAIL BOXCOX",23,0.1721,0.1227,"PASS",100,0.1734,0.1227,"PASS"
56,"CVL151","2014-01-20","2019-01-20",5,29,0.146,0.124,"PASS",4,0.1366,0.124,"PASS",12,0.17,0.124,"PASS",46,0.153,0.124,"PASS",18,0.137,0.124,"PASS",27,0.1336,0.124,"PASS",59,0.1533,0.124,"PASS",17,0.1524,0.124,"PASS",79,0.1734,0.124,"PASS",79,0.2213,0.124,"PASS"
57,"CVL151","2009-01-20","2014-01-20",5,9,0.2053,0.1223,"PASS",49,0.145,0.1223,"PASS",56,0.1707,0.1223,"PASS",42,0.1801,0.1223,"PASS",47,0.166,0.1223,"PASS",16,0.1778,0.1223,"PASS",42,0.1245,0.1223,"PASS",27,0.1525,0.1223,"PASS",63,0.1715,0.1223,"PASS",39,0.1681,0.1227,"PASS"
58,"CVL151","2000-06-13","2005-06-13",5,19,0.1607,0.1247,"PASS",150,0.1285,0.1242,"PASS",49,0.1455,0.1242,"PASS",14,0.1273,0.1242,"PASS",52,0.1585,0.1247,"PASS",46,0.1711,0.1242,"PASS",130,0.1248,0.1242,"PASS",19,0.1424,0.1242,"PASS",29,0.1451,0.1242,"PASS",43,0.1625,0.1242,"PASS"
59,"DCP114","2016-03-15","2021-03-15",5,28,0.1753,0.1218,"PASS",9,0.1607,0.1218,"PASS",54,0.1753,0.1218,"PASS",47,0.1883,0.1218,"PASS",56,0.1504,0.1218,"PASS",51,0.1197,0.1218,"FAIL",28,0.1747,0.1218,"PASS",52,0.172,0.1223,"PASS",153,0.1593,0.1218,"PASS",43,0.1816,0.1218,"PASS"
60,"DCP114","2008-09-23","2013-09-23",5,67,0.1506,0.1223,"PASS",62,0.1573,0.1223,"PASS",55,0.1477,0.1223,"PASS",68,0.1634,0.1223,"PASS",90,0.1148,0.1223,"FAIL",62,0.1742,0.1223,"PASS",65,0.1891,0.1223,"PASS",81,0.1958,0.1223,"PASS",65,0.1693,0.1223,"PASS",33,0.1535,0.1223,"PASS"
61,"DCP114","2000-01-04","2005-01-04",5,60,0.1334,0.1223,"PASS",55,0.1481,0.1223,"PASS",60,0.1381,0.1223,"PASS",18,0.1522,0.1223,"PASS",159,0.158,0.1223,"PASS",72,0.1351,0.1223,"PASS",27,0.1867,0.1223,"PASS",104,0.1265,0.1223,"PASS",42,0.1599,0.1223,"PASS",117,0.1355,0.1223,"PASS"
62,"DEN417","2017-07-04","2022-07-04",5,26,0.1376,0.1232,"PASS",105,0.1142,0.1232,"FAIL",37,0.1326,0.1232,"PASS",NA,NA,NA,"FAIL BOXCOX",47,0.1588,0.1232,"PASS",68,0.1159,0.1232,"FAIL",44,0.127,0.1232,"PASS",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",21,0.1412,0.1232,"PASS"
63,"DEN417","2012-01-01","2017-01-01",5,40,0.19,0.1216,"PASS",77,0.2053,0.1216,"PASS",51,0.178,0.1216,"PASS",NA,NA,NA,"FAIL BOXCOX",51,0.1667,0.1216,"PASS",80,0.1495,0.1216,"PASS",44,0.1431,0.1216,"PASS",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",66,0.1456,0.1216,"PASS"
64,"DEN417","2007-01-01","2012-01-01",5,18,0.1337,0.122,"PASS",45,0.1757,0.122,"PASS",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",59,0.1594,0.122,"PASS",18,0.1782,0.122,"PASS",31,0.139,0.122,"PASS",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX"
65,"DEN417","2002-01-01","2007-01-01",5,52,0.1453,0.1223,"PASS",14,0.1673,0.1223,"PASS",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",149,0.1197,0.1223,"FAIL",39,0.1481,0.1223,"PASS",89,0.1206,0.1223,"FAIL",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",26,0.1456,0.1223,"PASS"
66,"DEV412","2001-03-13","2006-03-13",5,40,0.1552,0.1232,"PASS",66,0.1914,0.1232,"PASS",66,0.2092,0.1232,"PASS",32,0.1992,0.1232,"PASS",66,0.2655,0.1232,"PASS",51,0.1991,0.1232,"PASS",15,0.1851,0.1232,"PASS",94,0.1345,0.1232,"PASS",15,0.1669,0.1232,"PASS",20,0.1044,0.1232,"FAIL"
