"Seg_ID","SITE_ID","Start_Date","End_Date","Num_Years","acf_SO2_Lag","acf_SO2_Value","acf_SO2_Threshold","acf_SO2_Status","acf_SO4_Lag","acf_SO4_Value","acf_SO4_Threshold","acf_SO4_Status","acf_HNO3_Lag","acf_HNO3_Value","acf_HNO3_Threshold","acf_HNO3_Status","acf_NO3_Lag","acf_NO3_Value","acf_NO3_Threshold","acf_NO3_Status","acf_TNO3_Lag","acf_TNO3_Value","acf_TNO3_Threshold","acf_TNO3_Status","acf_NH4_Lag","acf_NH4_Value","acf_NH4_Threshold","acf_NH4_Status","acf_CA_Lag","acf_CA_Value","acf_CA_Threshold","acf_CA_Status","acf_K_Lag","acf_K_Value","acf_K_Threshold","acf_K_Status","acf_MG_Lag","acf_MG_Value","acf_MG_Threshold","acf_MG_Status","acf_Sodium_Lag","acf_Sodium_Value","acf_Sodium_Threshold","acf_Sodium_Status"
22,"CAN407","2000-08-29","2013-09-24",13.07,104,0.106,0.0754,"PASS",22,0.0903,0.0754,"PASS",111,0.1062,0.0754,"PASS",209,0.0986,0.0754,"PASS",216,0.1124,0.0754,"PASS",209,0.0735,0.0754,"FAIL",76,0.1017,0.0754,"PASS",61,0.1138,0.0754,"PASS",76,0.1024,0.0754,"PASS",118,0.097,0.0754,"PASS"
23,"CAT175","2011-03-15","2018-11-27",7.7,142,0.1081,0.1013,"PASS",53,0.1292,0.1011,"PASS",59,0.1838,0.1011,"PASS",56,0.1463,0.1011,"PASS",59,0.206,0.1011,"PASS",81,0.133,0.1011,"PASS",22,0.125,0.1011,"PASS",110,0.1381,0.1016,"PASS",NA,NA,NA,"FAIL BOXCOX",147,0.1666,0.1011,"PASS"
24,"CDR119","2000-01-04","2009-12-15",9.95,174,0.1117,0.0871,"PASS",108,0.1202,0.087,"PASS",6,0.1096,0.087,"PASS",NA,NA,NA,"FAIL BOXCOX",24,0.1178,0.087,"PASS",148,0.1387,0.087,"PASS",42,0.1354,0.087,"PASS",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",207,0.115,0.087,"PASS"
25,"CDZ171","2011-10-04","2017-03-07",5.42,50,0.1173,0.1182,"FAIL",102,0.1207,0.1182,"PASS",18,0.1031,0.1182,"FAIL",86,0.2204,0.1182,"PASS",70,0.1311,0.1182,"PASS",70,0.1454,0.1182,"PASS",7,0.103,0.1182,"FAIL",63,0.1633,0.1182,"PASS",78,0.1222,0.1182,"PASS",33,0.1987,0.1182,"PASS"
26,"CDZ171","2001-08-28","2008-01-29",6.42,35,0.1185,0.1087,"PASS",11,0.1369,0.1087,"PASS",9,0.1236,0.1087,"PASS",118,0.1839,0.1087,"PASS",31,0.1443,0.1087,"PASS",50,0.1579,0.1087,"PASS",37,0.122,0.1087,"PASS",34,0.1384,0.1087,"PASS",29,0.1629,0.1087,"PASS",19,0.1367,0.1087,"PASS"
27,"CHA467","2003-07-29","2018-12-18",15.39,20,0.1325,0.0704,"PASS",162,0.109,0.0704,"PASS",55,0.0902,0.0704,"PASS",95,0.1516,0.0704,"PASS",101,0.1173,0.0704,"PASS",20,0.0818,0.0704,"PASS",204,0.1371,0.0704,"PASS",222,0.0973,0.0704,"PASS",200,0.1232,0.0704,"PASS",4,0.1189,0.0704,"PASS"
28,"CHE185","2009-01-27","2019-08-06",10.52,106,0.1258,0.0846,"PASS",57,0.118,0.0846,"PASS",51,0.1152,0.0846,"PASS",18,0.1277,0.0846,"PASS",57,0.1584,0.0846,"PASS",241,0.1004,0.0846,"PASS",57,0.1931,0.0846,"PASS",42,0.1508,0.0849,"PASS",39,0.1274,0.0846,"PASS",22,0.1254,0.0846,"PASS"
29,"CKT136","2018-05-01","2024-07-09",6.19,14,0.1015,0.1104,"FAIL",75,0.1432,0.1103,"PASS",35,0.1407,0.1103,"PASS",12,0.1816,0.1103,"PASS",38,0.169,0.1103,"PASS",35,0.1296,0.1103,"PASS",52,0.1438,0.1103,"PASS",28,0.1435,0.1103,"PASS",10,0.158,0.1103,"PASS",130,0.1393,0.1103,"PASS"
30,"CND125","2017-09-26","2023-07-25",5.83,9,0.1375,0.1143,"PASS",15,0.1555,0.1143,"PASS",59,0.1491,0.1143,"PASS",67,0.1562,0.1143,"PASS",163,0.1288,0.1143,"PASS",9,0.1594,0.1143,"PASS",21,0.1606,0.1143,"PASS",35,0.1617,0.1143,"PASS",43,0.1687,0.1143,"PASS",43,0.1824,0.1143,"PASS"
31,"CND125","2004-08-17","2016-08-09",11.98,151,0.1054,0.0798,"PASS",209,0.1034,0.0798,"PASS",209,0.1357,0.0798,"PASS",166,0.1065,0.0798,"PASS",55,0.1135,0.0798,"PASS",29,0.1236,0.0798,"PASS",86,0.1035,0.0798,"PASS",150,0.0958,0.0798,"PASS",138,0.1092,0.0798,"PASS",31,0.1194,0.0798,"PASS"
32,"CNT169","2000-01-04","2016-09-13",16.69,170,0.0911,0.0682,"PASS",255,0.0905,0.0682,"PASS",6,0.1299,0.0682,"PASS",NA,NA,NA,"FAIL BOXCOX",49,0.1236,0.0682,"PASS",52,0.0779,0.0682,"PASS",96,0.1232,0.0682,"PASS",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX"
33,"COW137","2000-01-04","2019-11-05",19.84,9,0.1388,0.0616,"PASS",206,0.1129,0.0616,"PASS",22,0.104,0.0616,"PASS",NA,NA,NA,"FAIL BOXCOX",147,0.1035,0.0616,"PASS",206,0.1037,0.0616,"PASS",81,0.0923,0.0616,"PASS",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",62,0.1015,0.0616,"PASS"
34,"CTH110","2016-01-05","2024-07-09",8.51,15,0.1281,0.0934,"PASS",98,0.1449,0.0933,"PASS",77,0.1595,0.0933,"PASS",110,0.1379,0.0933,"PASS",34,0.1408,0.0933,"PASS",123,0.144,0.0933,"PASS",153,0.1282,0.0933,"PASS",48,0.1033,0.0935,"PASS",135,0.1221,0.0933,"PASS",179,0.1227,0.0933,"PASS"
35,"CTH110","2001-08-28","2012-10-02",11.1,185,0.0976,0.0825,"PASS",225,0.1208,0.0825,"PASS",91,0.1106,0.0825,"PASS",31,0.1043,0.0825,"PASS",96,0.1087,0.0825,"PASS",14,0.1266,0.0825,"PASS",23,0.109,0.0825,"PASS",167,0.1014,0.0825,"PASS",NA,NA,NA,"FAIL BOXCOX",94,0.1061,0.0825,"PASS"
36,"CVL151","2009-01-20","2019-08-06",10.54,18,0.1126,0.0848,"PASS",8,0.0924,0.0848,"PASS",101,0.1236,0.0848,"PASS",86,0.1135,0.0848,"PASS",47,0.1172,0.0848,"PASS",203,0.1232,0.0848,"PASS",81,0.1326,0.0848,"PASS",45,0.1108,0.0848,"PASS",157,0.11,0.0848,"PASS",79,0.1192,0.085,"PASS"
37,"CVL151","2000-06-13","2005-08-23",5.19,19,0.1771,0.1223,"PASS",150,0.1469,0.1218,"PASS",49,0.1484,0.1218,"PASS",14,0.1282,0.1218,"PASS",49,0.1465,0.1223,"PASS",46,0.1679,0.1218,"PASS",130,0.1332,0.1218,"PASS",19,0.1442,0.1218,"PASS",84,0.1509,0.1218,"PASS",43,0.1596,0.1218,"PASS"
38,"DCP114","2016-03-15","2022-05-10",6.15,28,0.19,0.1097,"PASS",54,0.1794,0.1097,"PASS",54,0.1429,0.1097,"PASS",106,0.1553,0.1097,"PASS",153,0.1406,0.1097,"PASS",54,0.1302,0.1097,"PASS",28,0.1691,0.1097,"PASS",52,0.1921,0.1101,"PASS",153,0.1784,0.1097,"PASS",43,0.1938,0.1097,"PASS"
39,"DCP114","2008-09-23","2015-11-10",7.13,216,0.113,0.1027,"PASS",51,0.1122,0.1027,"PASS",191,0.0969,0.1027,"FAIL",95,0.1446,0.1027,"PASS",74,0.1077,0.1027,"PASS",25,0.1255,0.1027,"PASS",60,0.1669,0.1027,"PASS",57,0.1657,0.1027,"PASS",40,0.1486,0.1027,"PASS",33,0.1469,0.1027,"PASS"
40,"DCP114","2000-01-04","2008-09-09",8.68,37,0.135,0.0934,"PASS",11,0.127,0.0934,"PASS",6,0.1074,0.0934,"PASS",113,0.1558,0.0934,"PASS",50,0.1477,0.0934,"PASS",24,0.0908,0.0934,"FAIL",42,0.1329,0.0934,"PASS",52,0.153,0.0934,"PASS",27,0.1418,0.0934,"PASS",117,0.1128,0.0934,"PASS"
41,"DEN417","2017-07-04","2023-01-03",5.5,26,0.1591,0.1173,"PASS",105,0.1233,0.1173,"PASS",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",47,0.1861,0.1173,"PASS",68,0.1113,0.1173,"FAIL",123,0.1234,0.1173,"PASS",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",137,0.1392,0.1173,"PASS"
42,"DEN417","2002-01-01","2017-06-27",15.49,166,0.1152,0.0692,"PASS",152,0.0935,0.0692,"PASS",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",207,0.0874,0.0692,"PASS",166,0.1176,0.0692,"PASS",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX"
43,"DEV412","2001-03-13","2007-07-24",6.36,69,0.1692,0.1089,"PASS",66,0.1399,0.1089,"PASS",140,0.1331,0.1089,"PASS",32,0.1648,0.1089,"PASS",66,0.1877,0.1089,"PASS",6,0.168,0.1089,"PASS",20,0.1613,0.1089,"PASS",32,0.1306,0.1089,"PASS",20,0.1453,0.1089,"PASS",20,0.149,0.1089,"PASS"
44,"DIN431","2017-07-11","2023-08-01",6.06,109,0.1212,0.1106,"PASS",75,0.1207,0.1104,"PASS",52,0.1892,0.1104,"PASS",15,0.1236,0.1104,"PASS",100,0.1341,0.1104,"PASS",54,0.1209,0.1104,"PASS",22,0.136,0.1104,"PASS",139,0.1151,0.1104,"PASS",22,0.1728,0.1104,"PASS",6,0.1443,0.1104,"PASS"
45,"EGB181","2011-03-01","2019-04-23",8.15,132,0.1125,0.0962,"PASS",230,0.1311,0.0962,"PASS",66,0.1375,0.0962,"PASS",149,0.1594,0.0962,"PASS",59,0.1378,0.0962,"PASS",83,0.1245,0.0962,"PASS",22,0.1836,0.0962,"PASS",27,0.144,0.0962,"PASS",9,0.1332,0.0962,"PASS",40,0.1558,0.0962,"PASS"
46,"EGB181","2001-07-24","2007-04-24",5.75,60,0.1422,0.1139,"PASS",11,0.1784,0.1139,"PASS",60,0.1655,0.1139,"PASS",11,0.1621,0.1139,"PASS",11,0.1948,0.1139,"PASS",34,0.2108,0.1143,"PASS",11,0.1319,0.1143,"PASS",18,0.2082,0.1143,"PASS",57,0.16,0.1143,"PASS",5,0.1385,0.1143,"PASS"
47,"ESP127","2018-06-26","2023-08-01",5.1,23,0.1642,0.1211,"PASS",89,0.1339,0.1211,"PASS",15,0.1518,0.1211,"PASS",63,0.1573,0.1211,"PASS",55,0.1275,0.1211,"PASS",170,0.1074,0.1211,"FAIL",45,0.2214,0.1211,"PASS",104,0.1589,0.1211,"PASS",10,0.1972,0.1211,"PASS",126,0.1444,0.1211,"PASS"
48,"ESP127","2000-01-04","2016-08-02",16.58,159,0.0971,0.0675,"PASS",6,0.1005,0.0675,"PASS",168,0.0986,0.0675,"PASS",NA,NA,NA,"FAIL BOXCOX",99,0.0969,0.0675,"PASS",6,0.1036,0.0675,"PASS",27,0.1209,0.0675,"PASS",55,0.0954,0.0675,"PASS",NA,NA,NA,"FAIL BOXCOX",159,0.099,0.0675,"PASS"
49,"FOR605","2013-11-05","2018-12-18",5.12,7,0.1315,0.1227,"PASS",46,0.1669,0.1227,"PASS",27,0.1442,0.1227,"PASS",82,0.1515,0.1227,"PASS",40,0.1329,0.1227,"PASS",46,0.166,0.1227,"PASS",53,0.2211,0.1227,"PASS",71,0.1643,0.1237,"PASS",53,0.1627,0.1227,"PASS",NA,NA,NA,"FAIL BOXCOX"
50,"GAS153","2000-07-18","2024-07-09",23.98,NA,NA,NA,"FAIL BOXCOX",81,0.0761,0.0562,"PASS",187,0.0801,0.0562,"PASS",NA,NA,NA,"FAIL BOXCOX",228,0.094,0.0562,"PASS",97,0.0852,0.0562,"PASS",81,0.1196,0.0562,"PASS",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",147,0.0757,0.0563,"PASS"
51,"GLR468","2004-01-13","2011-03-08",7.15,10,0.1466,0.1018,"PASS",111,0.1571,0.1018,"PASS",30,0.1404,0.1018,"PASS",18,0.1353,0.1018,"PASS",135,0.1278,0.1018,"PASS",108,0.1612,0.1018,"PASS",135,0.1261,0.1018,"PASS",38,0.1603,0.1018,"PASS",NA,NA,NA,"FAIL BOXCOX",71,0.1401,0.1018,"PASS"
52,"GRB411","2012-05-01","2018-12-18",6.63,35,0.1422,0.1057,"PASS",63,0.1553,0.1057,"PASS",57,0.1845,0.1057,"PASS",18,0.1549,0.1057,"PASS",57,0.1858,0.1057,"PASS",63,0.156,0.1057,"PASS",53,0.1366,0.1057,"PASS",14,0.1241,0.1057,"PASS",116,0.1351,0.1057,"PASS",14,0.146,0.1057,"PASS"
53,"GRC474","2010-01-26","2019-01-22",8.99,75,0.1284,0.0915,"PASS",28,0.1575,0.0915,"PASS",144,0.1155,0.0915,"PASS",102,0.1298,0.0915,"PASS",45,0.1787,0.0915,"PASS",102,0.1783,0.0915,"PASS",50,0.1165,0.0915,"PASS",59,0.1198,0.0915,"PASS",NA,NA,NA,"FAIL BOXCOX",196,0.1272,0.0915,"PASS"
54,"GRC474","2003-07-29","2009-05-12",5.79,16,0.1583,0.1139,"PASS",28,0.1474,0.1139,"PASS",68,0.1761,0.1139,"PASS",81,0.1663,0.1139,"PASS",5,0.1379,0.1139,"PASS",52,0.1425,0.1139,"PASS",26,0.1578,0.1139,"PASS",67,0.1721,0.1139,"PASS",79,0.1452,0.1139,"PASS",23,0.1254,0.1139,"PASS"
55,"GTH161","2013-05-28","2020-11-10",7.46,4,0.1239,0.1001,"PASS",4,0.1423,0.1001,"PASS",57,0.1445,0.1001,"PASS",105,0.1376,0.1001,"PASS",57,0.1448,0.1001,"PASS",199,0.1377,0.1001,"PASS",43,0.1124,0.1001,"PASS",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",64,0.1105,0.1001,"PASS"
56,"GTH161","2004-06-22","2013-05-21",8.91,89,0.1218,0.0931,"PASS",73,0.1187,0.0929,"PASS",8,0.1319,0.0931,"PASS",28,0.158,0.0929,"PASS",28,0.1567,0.0931,"PASS",123,0.1219,0.0929,"PASS",76,0.1452,0.0929,"PASS",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX"
57,"HOX148","2009-04-14","2024-07-09",15.24,5,0.1586,0.0702,"PASS",136,0.1064,0.0701,"PASS",197,0.1129,0.0701,"PASS",152,0.0968,0.0701,"PASS",5,0.0924,0.0701,"PASS",136,0.1011,0.0701,"PASS",178,0.0952,0.0701,"PASS",NA,NA,NA,"FAIL BOXCOX",40,0.0819,0.0701,"PASS",NA,NA,NA,"FAIL BOXCOX"
58,"HOX148","2000-10-31","2005-11-08",5.02,11,0.1659,0.1227,"PASS",111,0.1649,0.1227,"PASS",68,0.1878,0.1227,"PASS",5,0.1697,0.1227,"PASS",49,0.1478,0.1227,"PASS",111,0.1594,0.1227,"PASS",57,0.1367,0.1227,"PASS",NA,NA,NA,"FAIL BOXCOX",57,0.1702,0.1227,"PASS",124,0.1653,0.1227,"PASS"
59,"HWF187","2014-11-04","2022-05-03",7.49,9,0.121,0.1,"PASS",12,0.1333,0.0998,"PASS",164,0.1448,0.1,"PASS",NA,NA,NA,"FAIL BOXCOX",44,0.1682,0.1,"PASS",12,0.152,0.0998,"PASS",56,0.1502,0.0998,"PASS",59,0.1212,0.0998,"PASS",NA,NA,NA,"FAIL BOXCOX",250,0.1224,0.0998,"PASS"
60,"HWF187","2002-05-28","2014-10-21",12.4,57,0.1186,0.0781,"PASS",53,0.1222,0.0781,"PASS",66,0.1464,0.0781,"PASS",NA,NA,NA,"FAIL BOXCOX",192,0.0975,0.0781,"PASS",53,0.1218,0.0781,"PASS",89,0.1228,0.0781,"PASS",207,0.1055,0.0783,"PASS",NA,NA,NA,"FAIL BOXCOX",NA,NA,NA,"FAIL BOXCOX"
61,"IRL141","2008-03-11","2016-10-04",8.57,57,0.0921,0.0933,"FAIL",52,0.1254,0.0933,"PASS",37,0.1145,0.0933,"PASS",251,0.1096,0.0933,"PASS",29,0.1121,0.0933,"PASS",52,0.166,0.0933,"PASS",7,0.1384,0.0933,"PASS",29,0.2088,0.0935,"PASS",29,0.2026,0.0933,"PASS",29,0.2004,0.0933,"PASS"
62,"JOT403","2013-09-10","2018-12-18",5.27,62,0.1931,0.1199,"PASS",11,0.1426,0.1199,"PASS",14,0.1425,0.1199,"PASS",11,0.1677,0.1199,"PASS",11,0.1859,0.1199,"PASS",11,0.2345,0.1199,"PASS",15,0.1427,0.1199,"PASS",108,0.1505,0.1199,"PASS",87,0.1337,0.1199,"PASS",87,0.1823,0.1199,"PASS"
63,"JOT403","2000-08-22","2011-05-10",10.71,211,0.1345,0.0841,"PASS",49,0.1246,0.0841,"PASS",8,0.1344,0.0841,"PASS",11,0.1612,0.0841,"PASS",49,0.1514,0.0841,"PASS",11,0.1667,0.0841,"PASS",153,0.1149,0.0841,"PASS",116,0.0944,0.0843,"PASS",58,0.106,0.0841,"PASS",118,0.1015,0.0841,"PASS"
64,"KEF112","2013-10-15","2024-01-09",10.23,104,0.1125,0.0855,"PASS",81,0.1872,0.0855,"PASS",178,0.1054,0.0855,"PASS",104,0.1691,0.0855,"PASS",52,0.134,0.0855,"PASS",81,0.1649,0.0855,"PASS",104,0.1616,0.0855,"PASS",104,0.1321,0.086,"PASS",18,0.1358,0.0855,"PASS",84,0.1223,0.0855,"PASS"
65,"KEF112","2007-12-25","2013-10-01",5.77,7,0.1223,0.1145,"PASS",25,0.1869,0.1145,"PASS",33,0.1653,0.1145,"PASS",31,0.1448,0.1145,"PASS",31,0.1885,0.1145,"PASS",25,0.2103,0.1145,"PASS",65,0.1635,0.1145,"PASS",29,0.2157,0.1153,"PASS",29,0.1308,0.1145,"PASS",6,0.1462,0.1145,"PASS"
